SignalID,Name,Category,Source,Type,DefaultSafeValue,Description,UsedByProfiles,FailSafeNote
SIG-HOVER-SWITCHER,hoverSwitcher,intention,client,Boolean,false,"Survol (ou hover répété) du LocaleSwitcher => intérêt langue.",TRIG-HESITATION,"Défaut false => intent explicite absent => HESITATION ne matche pas."
SIG-CLICKED-OTHER-LANG,clickedOtherLangContent,intention,client,Boolean,false,"Clic sur un contenu/lien d'une autre langue (S5).",TRIG-HESITATION,"Défaut false => pas d'intention forte enregistrée."
SIG-SEARCHED-IN-LANG,searchedInLang,intention,client,Locale|null,null,"Langue détectée d'une saisie recherche/chat (S7 script AR vs latin).",TRIG-HESITATION,"Pas de saisie => null => S7 ne vote pas, pas d'inférence forcée."
SIG-IN-CHECKOUT,inCheckout,tâche,client,Boolean,false,"Wizard/checkout actif (CHA-231). Zone calme inviolable (INV-14).",NEVER-CHECKOUT,"FAIL-SAFE INVERSÉ : en cas de doute, traiter comme true côté quiet zone. Plancher non désactivable (§7.5)."
SIG-FORM-FOCUSED,formFocused,tâche,client,Boolean,false,"Un champ de formulaire détient le focus.",NEVER-FORM,"En cas de doute => true (suppression). Plancher non désactivable (§7.5)."
SIG-TYPING,typing,tâche,client,Boolean,false,"Frappe clavier en cours (charge haute).",NEVER-FORM,"Doute => true => supprime. Anti-moment (INV-17)."
SIG-VIDEO-PLAYING,videoPlaying,tâche,client,Boolean,false,"Vidéo en lecture (immersion ; fullscreen = critique).",NEVER-VIDEO,"Doute => true => supprime (ne pas casser l'immersion)."
SIG-MODAL-OPEN,modalOpen,tâche,client,Boolean,false,"Une modale/overlay est ouverte (ex. chat).",NEVER-MODAL,"Doute => true => supprime (ne pas empiler de surfaces)."
SIG-COOLDOWN-ACTIVE,cooldownActive,budget,cookie,Boolean,true,"Fenêtre de cooldown en cours pour ce visiteur.",NEVER-BUDGET,"FAIL-SAFE : défaut true (budget réputé indisponible) => NEVER-BUDGET supprime tant qu'on ne prouve pas le contraire (INV-16)."
SIG-IMPRESSIONS,impressionsThisVisitor,budget,cookie,Integer,9999,"Nombre de prompts déjà montrés à ce visiteur (vs maxImpressions).",NEVER-BUDGET,"FAIL-SAFE : défaut très haut => réputé cap atteint => supprime tant que compteur réel illisible."
SIG-DISMISSED-PERSISTENT,dismissedPersistent,budget,cookie,Boolean,false,"Le visiteur a refusé de façon persistante (plus jamais sauf reset admin).",NEVER-DISMISSED,"Si lisible true => suppression définitive (INV-16). Absent => false (on ne ressuscite pas un refus inexistant), mais cooldown/cap couvrent le reste."
SIG-QUIET-HOURS,quietHours,budget,server,Boolean,false,"Plage horaire calme configurable (anti-sollicitation).",NEVER-BUDGET,"Défaut false (neutre) ; si activé en config et true => budget bloque."
SIG-PREFERS-REDUCED-MOTION,prefersReducedMotion,a11y,client,Boolean,true,"Préférence prefers-reduced-motion (INV-7).",,"FAIL-SAFE : défaut true => prompt rendu statique sans animation (jamais de motion par défaut). Ne supprime pas mais désactive l'anim."
SIG-KEYBOARD-ONLY,keyboardOnly,a11y,client,Boolean,false,"Navigation clavier détectée (focus visible, pas de pointeur).",,"Défaut false ; si true, exit-intent (pointeur) ne s'applique pas => EXIT-RESCUE inerte, le prompt reste focusable/dismissible clavier."
SIG-GEO-COUNTRY,geoCountry,source,server,String|null,null,"Pays dérivé IP — TIE-BREAKER FAIBLE et DESACTIVABLE uniquement (INV-20). JAMAIS signal dur.",,"Défaut null + désactivé par défaut. Ne déclenche jamais seul ; au mieux départage une égalité de confiance si l'admin l'active."
SIG-VISITOR-ID,visitorId,budget,cookie,String|null,null,"Identifiant first-party anonyme éphémère (clé de budget/cooldown/dismiss).",NEVER-BUDGET;NEVER-DISMISSED,"Absent => on ne peut pas garantir le budget => traiter comme budget indisponible (conservateur)."
