domain,scenario,mock_result,live_result,divergence,explication
copywriting,Discovery de modèles pour le picker role=chat,(pas de mode mock distinct côté discovery) registre statique seul,"Discovery LIVE réussie via OPENAI_API_KEY: renvoie whisper-1, gpt-3.5-turbo... en source:'live'",La discovery EST live (clé OPENAI_API_KEY valide) alors que la génération texte ne l'est PAS (clé différente vide). Le picker promet du 'live' que le moteur ne peut pas honorer.,Deux chaînes de résolution de clé différentes: api-key-manager (discovery) retombe sur OPENAI_API_KEY; generation.ts (génération) non. D'où un picker live sur un moteur fallback.
copywriting,Génération de texte via l'AI-Engine LangGraph (/api/admin/ai-engine/generate),Si OPENAI_API_KEY absente -> fallbackScript/fallbackCaption déterministes,Sur staging OPENAI_API_KEY présente (len=164) + AI_ENGINE_ENABLED=true + provider=openai/gpt-4o-mini -> chemin LIVE réel (appel OpenAI),"Le texte AI-Engine serait LIVE-fonctionnel, contrairement au texte opérateur. Mais ce chemin n'est jamais emprunté par l'opérateur du create flow.","engine-config.ts:75 `AI_ENGINE_OPENAI_API_KEY || ... || process.env.OPENAI_API_KEY` capte la clé générique; config providers reporte openai configured:true/healthy. (Non-exercé en POST pour éviter un coût LLM réel, mais établi statiquement + via /api/admin/ai-engine/config/providers.)"
copywriting,Variation de draft (mock vs live),"Clone exact du parent (caption/hook identiques), variantLabel changé",Clone exact du parent (identique au mock),"Aucune divergence: la variation ne dépend d'aucun mode ni d'aucune clé, c'est un clone DB pur.","createDraftVariation ne fait que copier les champs du parent; aucun LLM, aucun toggle de mode, promptOverride ignoré."
montage-composition,Recadrage image opérateur (upload-and-crop) sur staging,"Fonctionne : sharp recadre, génère preview.webp + thumb.webp, row media créée, fichiers servis 200 (probe réel: WebP VP8 100x100).","Identique au mock — l'endpoint ne lit PAS cs_generation_mode (traitement local déterministe, pas d'appel provider IA).",Aucune divergence : crop/trim sont mode-agnostiques.,"upload-and-crop/upload-and-trim sont du traitement média local (sharp/ffmpeg), pas de la génération IA. Le cookie cs_generation_mode n'est jamais lu par ces routes. Donc 'mock' et 'live' donnent le même résultat — c'est la seule partie du domaine montage qui marche réellement pour l'opérateur dans les deux modes."
montage-composition,Composition vidéo AI-Engine (compose mux voix-off/musique) via le graphe,"Le code émet la chaîne ffmpeg amix; mais les tests mockent ffmpeg → aucune validation. Sur disque: aucun .mp4, uniquement des .jpg de 10-14 octets ('mock-image'). En exécution réelle mock (sans audio), compose fait un copy binaire readFile/writeFile du mp4 source.",Cassé en amont: generate-video/voiceover/music throw (clés AI_ENGINE_OPENAI_API_KEY/HIGGSFIELD vides ou incomplètes) → state.videos vide → composeVideo retourne createEmptyAsset('No video source available'). Aucune composition réelle possible aujourd'hui.,"Mock: copie/placeholder sans vrai mux. Live: échec dès la génération vidéo, compose ne reçoit jamais de source.","En LIVE les clés sont vides (état env vérifié dans le contexte) → throw HttpError invalid_state en amont. En MOCK le mux n'est jamais exercé réellement (tests mockent ffmpeg, et le cas sans audio fait juste une copie). Le mux amix voix-off+musique n'a donc JAMAIS tourné contre un vrai ffmpeg dans aucun mode vérifiable."
montage-composition,Visibilité du média monté dans la bibliothèque après génération AI-Engine,"Le graphe produit composition+exports en state, mais le bridge ne les persiste pas ; le draft créé n'a pas d'asset (binding par assetId échoue silencieusement).",Idem (et de toute façon génération live cassée).,"Dans les deux modes, le rendu monté/exporté n'atteint jamais la bibliothèque.",bridgeToContentStudio ignore result.composition/exports/thumbnails — défaut de mapping indépendant du mode. La divergence n'est pas mock/live mais système A (qui compose) vs bibliothèque (qui n'en voit rien).
montage-composition,Découpe vidéo opérateur (upload-and-trim) sur staging,"Fonctionne: ffmpeg trim 0,5→2s → MP4 H.264 26KB (durée réelle 1,6s par arrondi keyframe) + poster JPEG 320x240, servis 200 (probe réel).","Identique — mode-agnostique (ffmpeg local, pas d'IA).",Aucune.,"Comme le crop, la découpe est du traitement local; cs_generation_mode non lu. Marche réellement dans les deux modes."
publication-postiz,Publier maintenant un post approuvé Instagram (publish-now),"Prouvé: dry_run adapter renvoie ok=true, status=published, permalink factice https://social.example.test/instagram/<id>, content_post -> published. Aucun appel réseau externe.","Non exercé. resolveDefaultAccount choisirait un compte Postiz réel, l'adapter upload média + POST /posts type=now, extrairait releaseURL/remoteId. Publierait sur un vrai compte client IG.","Mock = aucune publication réelle + permalien factice; Live = publication réelle sur Instagram. Le mode dépend UNIQUEMENT de SOCIAL_PUBLISHING_MODE (dry_run par défaut), PAS du cookie cs_generation_mode (qui ne concerne que la génération visuelle).",Le toggle mock/live de génération (cs_generation_mode) n'a AUCUN effet sur la publication. Seul SOCIAL_PUBLISHING_MODE bascule dry_run<->Postiz. Risque de confusion opérateur: 'mode mock' UI ne protège pas contre une publication live.
publication-postiz,Envoyer un brouillon au provider (draft-on-provider),"Prouvé par probe: job publishMode=draft, dry_run, status=published, permalink .../draft/dry_..., content_post.status reste 'approved', audit social.draft_created émis.","Non exercé. Postiz accepte type=draft (contrat valide, FEATURES.md:213). Le draft atterrirait dans la file de revue Postiz sans publier sur IG. Upload média réel requis (mediaRequired=true pour IG).","Mock: permalink simulé /draft/, aucune trace côté Postiz. Live: vrai draft visible dans l'UI Postiz du compte client.","Le chemin draft dry_run est complet et sûr. Le live n'a jamais été observé; les hypothèses sur le shape de réponse (extractPostizPostId, parsePostizUploadedMedia) ne sont vérifiées que par GET integrations, pas par POST."
publication-postiz,Programmer un post pour T+1h (schedule),"Job queued + scheduledAt créé, content_post -> scheduled. MAIS le worker ne tourne jamais (aucun cron branché) => le job dry_run ne sera jamais exécuté. 'Publication programmée' affiché mais inerte.","Identique: job queued éternel, jamais exécuté côté Postiz. La programmation est cassée dans les DEUX modes faute de scheduler branché.",Aucune divergence mock/live ici: les deux sont cassés de la même manière (finding-1). La différence serait visible UNIQUEMENT si le scheduler tournait.,"runScheduledPublishJobs n'a aucun déclencheur (ni vercel.json, ni tick, ni crontab). La programmation accuse réception mais ne publie jamais, mock comme live."
publication-postiz,Lister/synchroniser les comptes Postiz (read),"syncDryRunSocialAccounts crée 2 comptes simulés (IG/FB). En l'absence de POSTIZ_*, listPostizIntegrations échoue silencieusement (warn) et seuls les dry_run sont disponibles.","Prouvé fonctionnel: GET https://postiz.lumiereacademy.com/api/public/v1/integrations => 200, 4 comptes IG réels synchronisés (header authorization=clé brute, sans Bearer). Contrat de lecture correct.","Le contrat de LECTURE Postiz (integrations) fonctionne en réel; c'est le seul morceau live prouvé. Les contrats d'ÉCRITURE (upload, posts) restent non prouvés.","L'auth Postiz (clé brute en header authorization) et l'endpoint /api/public/v1/integrations sont corrects et joignables, contrairement au problème Higgsfield. La sync DB est à jour (remoteId = id Postiz live)."
publication-postiz,"Capabilities d'un compte (supportsDraft, formats)",Validation serveur via adapter.listCapabilities (frais): reel/story/supportsDraft:true OK. Probe draft-on-provider en dry_run passe.,"Idem côté validation serveur. MAIS l'objet account.capabilities PERSISTÉ (servi à l'UI) est stale (pas de supportsDraft, dry_run IG sans reel/story).",Serveur (recalcul frais) vs UI (persisté stale) divergent dans les DEUX modes. L'UI peut afficher 'brouillon indisponible' ou 'format non supporté' à tort.,"Source de vérité dédoublée: code adapter (à jour) vs lignes social_account (figées à la dernière sync, avant extension du schéma capabilities)."
create-ui-flow,Generer un visuel image avec le modele auto-suggere (gpt-image-1-mini),"HTTP 200, media ready, thumbnail AVIF servi en 200; toast 'Visuel IA généré'",HTTP 409 invalid_state 'CONTENT_STUDIO_OPENAI_API_KEY manquant'; toast 'Génération visuelle : Modèle OpenAI ...',Le mock reussit toujours; le live throw d'emblee pour le modele que l'UI a elle-meme auto-selectionne (suggested).,generate-visual lit le cookie cs_generation_mode (route.ts:27-29). En mock => SVG fallback (image-generation.ts:61). En live => route 4 (OpenAI) lit env.CONTENT_STUDIO_OPENAI_API_KEY (vide) => throw. La cle generique OPENAI_API_KEY presente n'est PAS utilisee par ce chemin.
create-ui-flow,Generer une video avec un modele Higgsfield (hf-video-turbo ou veo3_1),HTTP 200 (si modele mock-video) kind=video durationMs=5000 MP4 lisible; ou en mode mock cookie le SVG/MP4 mock,HTTP 409 invalid_state 'credential Higgsfield incomplet (KEY_ID:KEY_SECRET requis)',Video mock fonctionnelle et lisible; toute video live Higgsfield echoue.,higgsfieldAuthHeader() renvoie null (cle sans ':' et pas de secret). Le picker propose pourtant veo3_1/kling3_0 avec badge 'Live'.
create-ui-flow,Generer les variantes de texte apres creation d'idee,"Variantes 'deterministic-template' (fallback), badge 'Généré par deterministic-template · fallback · gratuit'",IDENTIQUE: variantes 'deterministic-template' — le cookie cs_generation_mode est ignore par ideas/generate,"AUCUNE difference entre mock et live pour le texte: le toggle n'a aucun effet, et en 'live' l'operateur croit avoir du texte IA alors que c'est un template.","ideas/generate ne lit pas le cookie; generation.ts tombe sur fallbackGeneration sans cle (CONTENT_STUDIO_OPENAI_API_KEY/CHAT_OPENAI_API_KEY vides), sans lever d'erreur."
create-ui-flow,Indicateur de mode au chargement de /create,"Toggle affiche MOCK (defaut prop 'mock'), cookie pose a mock, generations mock","health.mockMode=false (env) => pas de MockModeBadge, alors que le toggle dit MOCK","Le toggle (cookie, defaut mock) et le badge global (health.mockMode=false) divergent: deux sources de verite non synchronisees.",MediaStudio rend GenerationModeToggle sans envDefault (=> 'mock'); StudioContext lit mockMode depuis health (env CONTENT_STUDIO_V2_MOCK_MODE non defini => false).
create-ui-flow,Publier en brouillon Postiz (parcours operateur),Non couvert par un E2E vert (le test crash au seed: relation audit_event does not exist),Non teste; production utilise schema.auditEvents (table audit_events pluriel) qui existe en staging,L'E2E echoue sur un nom de table (singulier) qui n'existe pas; la prod fonctionne sur le pluriel. Le parcours n'a pas de validation E2E.,Decalage de nommage harness/test (audit_event) vs schema/DB (audit_events). Verifie via to_regclass: f|t.
test-mock-infrastructure,"Génération d'image, modèle gpt-image-1 sélectionné (proposé 'Live' par le picker)","Mode mock: génère un asset PNG statique (/_media/content-studio/mock/sample-1080.png, servi 200), provider:'mock', toast 'Visuel IA généré' — prouvé par le diagnostic playwright (média me_uu3topxhsoux2dwp).",Mode live: image-generation.ts:87-90 throw HttpError invalid_state 'CONTENT_STUDIO_OPENAI_API_KEY manquant' car la clé env est vide ; aucun appel OpenAI ne part.,"Le picker affiche gpt-image-1 source:'live' (probe) mais la génération live throw. Mock OK / Live cassé, non détecté.","Discovery résout la clé via resolveApiKey (DB→env, DB absente) et sert du cache 'live' ; image-generation.ts lit env.CONTENT_STUDIO_OPENAI_API_KEY brut (vide). Deux chemins de clé incohérents."
test-mock-infrastructure,Génération vidéo Higgsfield (hf-video-*) en mode live,"Test video-generation.test.ts:124 mocke clé 'hf_test:secret_test' + fetch /videos/generate→{job_id} + /videos/status/→{completed,video_url}; out.provider='higgsfield', publicUrl='https://hf/result.mp4'. Vert.","Staging: higgsfieldAuthHeader()=null (clé sans ':' + pas de secret) → throw 'credential Higgsfield incomplet'. Même si la clé était complète, video-generation.ts:157 appelle /v1/videos/generate (synchrone) qui n'existe pas sur l'API async réelle.",Le test 'live' passe contre des endpoints synchrones inventés et une clé factice ; la réalité throw immédiatement ou taperait des endpoints inexistants.,"Mock écrit autour du code faux (endpoints synchrones), credentials idéaux ; aucun test ne reflète l'API async réelle ni les credentials réels de staging."
test-mock-infrastructure,Polling Higgsfield status=failed (gestion d'erreur),"Test 'polling status=failed' : 15 tests passed, rejection 'content policy violation' attendue capturée par rejects.toThrow.",Une rejection IDENTIQUE échappe à l'await du test (fake timer) → 'Unhandled Rejection' → process EXIT 1 malgré success:true dans le JSON.,Le même chemin d'erreur est à la fois 'testé OK' et source d'un crash process non rapporté par le compteur de tests.,"La boucle de polling reschedule un setTimeout sous fake timers ; le test useRealTimers avant de drainer, laissant une promesse pendante rejeter hors scope."
test-mock-infrastructure,Publication brouillon Postiz (E2E DB),"Adapter dry_run renvoie ok:true, permalink '.../draft/dry_<hash>', status 'published' (déterministe).",Le spec E2E échoue avant toute assertion utile: 'relation audit_event does not exist' (table réelle = audit_events). Le test n'a jamais validé le flux contre la vraie DB.,Le dry-run 'marche' en unitaire mais l'E2E DB est cassé par un nom de table erroné — donc le parcours opérateur réel n'est pas vérifié.,Fixtures/cleanup E2E écrits sans confronter le schéma Drizzle réel ; ces E2E DB ne tournent pas en CI (sinon rouge permanent).
test-mock-infrastructure,Découverte de modèles quand aucune clé n'est configurée,Tests model-discovery: fallback statique attendu (source:'fallback') quand pas de clé.,Probe réel: source:'live' pour gpt-image-1 (discovery:'cache') — un cache mémoire antérieur masque l'absence de clé actuelle.,"Les tests supposent fallback sans clé ; en réalité le cache process sert 'live' indéfiniment dans la fenêtre TTL, désynchronisant l'UI.",modelCache (TTL 5min) survit entre requêtes dans le process PM2 ; aucun test ne reproduit l'effet cache+changement de clé.
