id,severity,domain,title,rationale
MISS-012,minor,copywriting,"Le model selectionne dans le picker n'est jamais persiste ni honore: l'idee ne garde pas le model, le run log affiche 'deterministic-template'","ideas/route.ts:53 strip explicitement `model` du payload de creation d'idee (commentaire: 'persisted only when generation runs'), et l'UI doit le re-passer a /generate. Mais a /generate, faute de cle, fallbackGeneration ecrase model par 'deterministic-template' (generation.ts:196). Donc le model choisi disparait dans tous les cas (jamais sur l'idee, ecrase dans le run). Cote operateur, choisir gpt-4o-mini vs gpt-4.1 est sans aucun effet ni trace. Partiellement adjacent a copywriting-1 mais le mecanisme de strip/non-persistance sur l'idee n'est pas couvert."
MISS-013,minor,copywriting,generateForIdea utilise `??` qui ne neutralise pas une cle vide — fragilite de resolution applicable aussi en LIVE futur,"generation.ts:70 `env.CONTENT_STUDIO_OPENAI_API_KEY ?? env.CHAT_OPENAI_API_KEY`: si CONTENT_STUDIO_OPENAI_API_KEY='' (cas actuel), le ?? ne tombe pas sur CHAT_OPENAI_API_KEY. Meme si on configurait CHAT_OPENAI_API_KEY plus tard, une CONTENT_STUDIO_OPENAI_API_KEY vide (et non absente) continuerait de masquer le fallback. Toutes les autres resolutions du repo (api-key-manager.ts resolveEnvKey via `if (val)`, engine-config.ts via `||`) neutralisent correctement la chaine vide; generation.ts est le seul incoherent. Bug latent qui re-cassera la config LIVE meme apres ajout d'une cle, non explicitement isole par l'auditeur (mentionne en fixHint de copywriting-1 mais pas comme finding propre)."
MISS-014,minor,copywriting,"Le hashtag/altText du fallback texte est cable en dur, identique pour toute idee, sans aucune adaptation a la plateforme/format/pillar","generation.ts:167-191 produit 3 drafts dont hashtags (['femiglow','rituel','soindesongles'] etc.), altText et hooks sont des constantes; seul `base = idea.prompt` est injecte en prefixe de caption. Aucune variation selon platform (instagram/facebook), format (post/story/reel/carousel) ni pillar (sauf le proof du brief). Pour un reel ou un carousel, le meme texte 'post' est servi. C'est une degradation qualitative reelle et systematique (au-dela du label brut signale en copywriting-7), produite a chaque generation operateur aujourd'hui."
MISS-015,minor,create-ui-flow,"allowCustom=true: l'opérateur peut taper n'importe quel id de modèle, transmis non validé à l'API de génération","ModelPicker monte avec allowCustom par défaut true (props :19,52); IntentionForm et MediaStudio ne passent pas allowCustom=false. handleCustomSubmit (ModelPicker.tsx:128-135) appelle onChange(v) avec une string libre. visualGenerationSchema.model et ideasGenerateSchema.model = z.string().min(1).max(120) (schemas.ts:61,29) sans vérification de registre/capacité -> un id arbitraire (typo, modèle inexistant, modèle d'un autre rôle) atteint generateStudioImage/generateForIdea et n'est rattrapé qu'en aval (throw provider ou fallback silencieux). Élargit la surface de desync UI/réalité au-delà des findings #2/#9."
MISS-016,minor,create-ui-flow,"Le défaut serveur de generate-visual est 'mock' (route.ts:28-29), ignorant CONTENT_STUDIO_V2_MOCK_MODE — fenêtre où une génération part en mock avant que le toggle ne pose le cookie","generate-visual/route.ts:27-29: si pas de cookie cs_generation_mode, mode='mock' en dur (pas de lecture de l'env CONTENT_STUDIO_V2_MOCK_MODE). Or readGenerationModeFromCookie (GenerationModeToggle.tsx:152-159) sait pourtant prendre un envDefault — non utilisé côté route. Conséquence: avant que MediaStudio ne monte et pose le cookie, ou si le cookie est purgé, toute génération visuelle part en mock indépendamment de l'intention env. C'est une 3e source de vérité (route default) distincte du toggle (cookie) et du badge (health.mockMode), aggravant la triple désynchronisation que le finding #4 ne couvre que partiellement."
MISS-017,minor,create-ui-flow,Bouton 'Régénérer' renvoie l'ancien model d'état sans le re-synchroniser au kind/format courant,"MediaStudio.tsx:198-211 le bouton Régénérer appelle le même generateVisual() qui envoie body.model = model (l'état local). Après un changement de format/kind, le useEffect :64-69 remet model=null et le picker re-sélectionne un nouveau suggested, mais si l'opérateur régénère juste après avoir basculé Live sans rouvrir le picker, le model envoyé peut être un id live non-fonctionnel hérité. Couplé aux findings #1/#9, c'est un autre chemin où l'UI propose une action (Régénérer) qui échoue silencieusement en live. Mineur car dépend d'un timing précis."
MISS-018,minor,generation-image,"role=chat expose des modeles non-chat (whisper-1 STT, davinci-002/babbage-002 completions, gpt-3.5-turbo-instruct) — inferRole defaut 'chat' trop large","Probe GET /api/admin/content-studio/models?role=chat retourne whisper-1 (STT/transcription) en premiere position, plus davinci-002, babbage-002, gpt-3.5-turbo-instruct (legacy completions). Cause: model-discovery.ts:166-172 inferRole renvoie 'chat' par defaut pour tout id non reconnu (pas de detection whisper/instruct/davinci/babbage/tts). Consequence: le picker chat propose des modeles qui echoueront a l'usage (whisper-1 n'est pas un endpoint chat-completions). Meme classe de desync UI/realite que gen-2/gen-8, dans le meme fichier de discovery."
MISS-019,minor,generation-image,"Discovery Higgsfield echoue a chaque appel non-cache (host mort api.higgsfield.ai/v1 + Bearer) ajoutant de la latence (timeout 5s) au picker, sans jamais reussir","models/route.ts:124-135 appelle discoverModels(openai/higgsfield/anthropic) a CHAQUE GET (force-dynamic). model-discovery.ts:290-298 fetchHiggsfield cible le default 'https://api.higgsfield.ai/v1' (host mort) avec Authorization Bearer (auth fausse) — le route ne passe pas apiBase. La discovery higgsfield ne reussira JAMAIS (vraie API: platform.higgsfield.ai + 'Key KEY_ID:KEY_SECRET'), et a chaque expiration de cache un fetch vers le host mort coute jusqu'a FETCH_TIMEOUT_MS=5s (fetchWithTimeout) avant de retomber sur le fallback."
MISS-020,minor,generation-image,"Fallback silencieux du noeud generate-images: tout echec provider est avale en image mock cost=0 servie 404 (degradation invisible, cout trompeur)","generate-images.ts:174-177 catch toute erreur de generateProviderImage et pousse generateMockImage avec costCents=0 et url /_media/ai-engine/mock/...png qui renvoie 404 (probe confirme). Si le chemin LangGraph (orchestrator) est emprunte, un echec provider (cle manquante/quota) est avale silencieusement: le job 'reussit' avec une image fantome non servable et un cout 0 trompeur, sans flag de degradation dans le state. Aggrave gen-5."
MISS-021,minor,generation-video,VideoPlayer affiche `src=''` pour un asset fallback/empty et tente de lire une video inexistante (compose/generate-video peuvent renvoyer url=''),"compose.ts createEmptyAsset (ligne 247-257) et generate-video.ts fallback (ligne 214-225) renvoient url:'' sur erreur (ex: ffmpeg absent, pas de source video). VideoPlayer.tsx:120 rend <video src={media.previewUrl}> sans garde sur previewUrl vide/null -> un <video src=''> declenche une erreur de chargement silencieuse cote navigateur. Bien que le chemin operateur actuel ne touche que des assets mock valides, le pipeline AI-Engine (si jamais branche au bridge) peut propager un url='' jouable nulle part. Aucun finding ne couvre la gestion d'un asset video vide cote lecteur."
MISS-022,minor,generation-video,Le routeur video utilise startsWith('hf-') (prefixe interne) au lieu de provider==='higgsfield' — fixHint du finding-4 confirme par le code mais aucun test ne couvre un id live-decouvert,"video-generation.test.ts ne teste QUE des ids 'hf-video-*' et 'mock-*'. Aucun test n'exerce un id higgsfield live-decouvert (veo3_1, kling3_0...) en mode live, alors que ce sont precisement les ids servis par le picker (/models?role=video source:live). Le decalage finding-4 n'est donc capture par AUCUN test, ce qui explique qu'il soit passe inapercu en CI. Lacune de couverture de test sur le chemin reellement propose a l'UI."
MISS-023,minor,generation-video,MOCK_ASSETS ne couvre que reel/story: une generation video mock sur format=post/carousel throw 'Aucun mock video disponible' mais le bouton 'Générer une vidéo IA' peut etre atteignable selon kind,"generateMockStudioVideo (video-generation.ts:237-242) throw pour post/carousel. isFormatVideoCapable (ligne 230-232) existe pour gater l'UI, mais aucun finding ne verifie que MediaStudio empeche reellement de selectionner kind=video pour un format non-video-capable. Si l'UI laisse passer kind=video sur un post, l'operateur recoit une 500/erreur. A verifier que le toggle kind=video est bien desactive pour post/carousel."
MISS-024,minor,generation-video,"MEDIA_DIR = join(process.cwd(),'../../.media-storage/ai-engine') est fragile: depend du cwd du process (build prod vs test vs cron) — risque de divergence de chemin runtime/test au-dela de la pollution","Au-dela de la pollution de test (finding-6), le calcul relatif '../../' depuis process.cwd() est intrinsequement fragile: en build prod PM2 (cwd=apps/web) il resout vers /var/www/femiglow-staging/.media-storage/ai-engine, mais tout changement de cwd (script, worker, cron) casse silencieusement le chemin de stockage ET de service media. Aucun finding ne signale ce couplage cwd comme dette de fiabilite runtime distincte de la pollution test."
MISS-025,minor,montage-composition,Le chemin sans audio de composeVideo n'est qu'une copie binaire readFile/writeFile — aucun montage ni normalisation,"compose.ts:56-78: quand il n'y a ni voiceover ni musique (cas frequent en mock, ou si TTS/musique echouent), composeVideo fait videoBuffer=await readFile(videoPath); await writeFile(outputPath, videoBuffer) — une simple copie binaire du MP4 source renomme 'composed-*.mp4'. Aucun overlay caption, aucune normalisation, aucun reencodage, aucune validation de conteneur. Le 'compose' est alors un no-op deguise: la sortie 'composee' est identique a l'entree. Combine a montage-composition-4 (sous-titres ignores), pour une video sans piste audio l'etape compose n'apporte STRICTEMENT rien. Non couvert par l'auditeur qui se concentre sur le cas avec audio -c:v copy."
MISS-026,minor,montage-composition,"transcode-export: fallback 'passthrough' copie la composition non transcodee quand l'export echoue, masquant l'echec ffmpeg","transcode-export.ts:182-188: si aucun export n'est produit (echec ffmpeg avale par le catch 174-180 sans rethrow) mais qu'une composition existe, le noeud cree un export 'passthrough' = {...composition, assetId:'passthrough-*'} pointant vers l'URL de la composition NON transcodee (ni redimensionnee au spec, ni re-encodee). Le catch silencieux masque tout echec de transcodeVideo: l'appelant recoit un 'export' qui est en realite la composition brute. Combine a montage-composition-5 (maxFileSizeMb/codec non enforces), un export passthrough peut violer toutes les contraintes plateforme sans aucun signal. Non identifie par l'auditeur."
MISS-027,minor,montage-composition,upload-and-crop/trim: aucune limite de pixels/resolution en entree — risque d'epuisement memoire (decompression bomb) malgre le plafond octets,"upload-image.ts ne limite que les octets (MAX_BYTES 25 Mo) et appelle sharp(input.file).rotate().extract() sans limitInputPixels ni borne sur crop.width/height (cropSchema impose seulement .positive()). Une image WebP/PNG de 25 Mo peut decompresser en centaines de millions de pixels et saturer la RAM du process PM2 'web' (mono-process partage avec tout le site). De meme upload-video accepte 200 Mo et lance ffmpeg sans borne de resolution/fps de sortie. Rate-limit present (30/min crop, 10/min video) mais aucune protection memoire par requete; sur staging mono-process une poignee de requetes adverses peut faire tomber le site. Vecteur d'epuisement ressources non examine par l'auditeur."
MISS-028,minor,publication-postiz,Re-programmation via /schedule crée un second job queued au lieu de muter l'existant (clé idempotence inclut scheduledAt),"La clé d'idempotence de scheduleContentPost intègre scheduledAt.toISOString() (admin-service.ts:328). Appeler /schedule deux fois pour le même post à des horaires différents produit DEUX social_publish_job 'queued' distincts (findPublishJobByIdempotencyKey ne matche pas car la clé diffère). updatePostPlanning n'écrase que content_post.scheduledAt. Sous scheduler actif (finding-1), les deux jobs s'exécuteraient -> publications multiples. Aggrave la classe de bugs orphelins du finding-5 et la double-publication."
MISS-029,minor,publication-postiz,"/publishability renvoie des capabilities persistées stale dans l'objet account, alors qu'il sert de source à l'UI de publication","getPostPublishability recalcule la 'capability' pour la VALIDATION (admin-service:192-194) mais retourne l'objet account tel quel (capabilities persistées). Probe /publishability cp_6l8bqahwpqpzgg9j: account.capabilities=[post,carousel] sans supportsDraft pour un content.format='reel' avec publishable:true. C'est une incohérence interne au contrat de la même réponse (account dit ne pas supporter reel, mais publishable=true). Aujourd'hui sans impact car aucune UI ne consomme account.capabilities pour gater (cf finding-3 ajusté), mais c'est une source de confusion et un piège pour tout futur consommateur. À noter: l'auditeur a cadré ce désync comme 'UI lit le persisté'; la réalité est que l'API publishability elle-même expose le stale."
MISS-030,minor,test-mock-infrastructure,"resolvedKeyCache (api-key-manager) TTL 5min sans invalidation env: un changement de cle .env n est pas pris en compte avant 5min, et invalidateCache n est appele que sur save/delete DB","api-key-manager.ts:255-294 met en cache la cle resolue (env comprise) pendant CACHE_TTL_MS=5min; invalidateCache n est declenche que par saveApiKey/deleteApiKey (DB). Un operateur qui corrige une variable d env via PM2 restart est ok, mais toute resolution intra-process reste figee 5min — combine au cache modelCache (lui aussi 5min), cela amplifie la desync UI/realite, et aucun test ne couvre 'cle changee pendant la fenetre TTL'. Ce double-cache n est pas mentionne par l auditeur."
MISS-031,minor,test-mock-infrastructure,vitest.setup.ts mocke globalement next/navigation (push/replace/refresh = no-op) — les tests RTL qui 'verifient' une navigation ou un refresh apres action n assertent rien de reel,"Le finding-8 mentionne le mock next/navigation mais sous-estime l impact transverse: tout composant create-flow qui declenche router.refresh()/push() apres une publication ou une generation voit son effet de routing neutralise globalement. Un test qui croit valider 'apres publish, redirection/refresh de la liste' passe sans rien prouver. Aucun finding ne quantifie quels tests du pipeline create dependent de cet effet stube."
MISS-032,minor,voix-off,"MEDIA_DIR resout via process.cwd()+'../../' — couplage implicite au cwd de lancement, casse hors apps/web","Tous les nodes media (generate-voiceover.ts:13, generate-music.ts:13, generate-video.ts:16, compose.ts:15, transcode-export.ts:15, generate-subtitles.ts:8) calculent MEDIA_DIR=join(process.cwd(),'../../.media-storage/ai-engine'). Ne fonctionne QUE lance depuis apps/web (verifie: pm2 exec cwd=/var/www/femiglow-staging/apps/web -> /var/www/femiglow-staging/.media-storage/ai-engine, 1188 fichiers). Un build standalone ou un cwd different ferait pointer ailleurs et /_media ne servirait rien. Couplage non documente, non releve par les findings."
MISS-033,minor,voix-off,getEngineConfig() met en cache la config en singleton module: changer le provider TTS/les cles n'a aucun effet sans restart du process,"engine-config.ts:51-52 'if (_config) return _config'. providers/apiKeys/tts.default figes au premier appel pour toute la vie du process PM2. Aggrave voix-off-5: meme en posant AI_ENGINE_DEFAULT_TTS_PROVIDER=openai, le node voiceover garderait 'mock' en cache jusqu'au restart. resetEngineConfig existe mais n'est appele par aucun chemin runtime (tests seulement). Activer la voix-off live exige donc un restart non evident pour l'operateur."
MISS-034,info,create-ui-flow,"GenerationModeToggle persiste le cookie sur path=/ (toute l'app), pas seulement l'admin, malgré le commentaire qui dit 'scoped to the admin path'","GenerationModeToggle.tsx:20 document.cookie='cs_generation_mode=...; path=/; ...' alors que le commentaire :13 affirme 'cookie is scoped to the admin path'. Désaccord code/commentaire; le cookie part sur toutes les requêtes du domaine (léger fuite de portée, surface élargie). Aucun impact sécurité direct (lu uniquement par les routes admin protégées) mais c'est une incohérence dans le périmètre exact audité (desync intention/implémentation)."
