finding_id,domain,component,etat_suppose,etat_reel_verifie,ecart,cause_racine,severite,mock,live
BUG-013,voix-off,"src/lib/ai-engine/nodes/generate-video.ts (generateMockVideo), src/lib/ai-engine/nodes/compose.ts (composeVideo), src/lib/ai-engine/nodes/transcode-export.ts","En mock, generate-video produit un MP4 (couleur + anullsrc + drawtext) lisible; compose muxe voiceover+music; transcode-export sort le MP4 final + thumbnail.",[CORRECTION AUDITEUR PRINCIPAL 2026-05-29] La cause racine 'lavfi indisponible' est REFUTEE par contre-verification directe: le binaire ffmpeg-static de l'app supporte lavfi et la commande des noeuds produit un fichier valide (exit 0). Voir evidence/ffmpeg-binary-verification.md. Severite ramenee a minor; l'impact operateur reel est gouverne par BUG-004 (noeuds inatteignables depuis le flux create). Confirme. Meme cause racine que voix-off-1 (regex fluent-ffmpeg vs ffmpeg-static device-flag). Aucun MP4 jouable en mock; sous-pipeline video/compose/transcode/mux mort. Spec e2e create-mock-video non re-executee (interdit) mais cause technique prouvee directement.,Aucun MP4 jouable produit en mock; tout le sous-pipeline vidéo (et donc le muxage de l'audio) est mort. Seul le SRT (JS pur) est produit.,[CORRECTION AUDITEUR PRINCIPAL 2026-05-29] La cause racine 'lavfi indisponible' est REFUTEE par contre-verification directe: le binaire ffmpeg-static de l'app supporte lavfi et la commande des noeuds produit un fichier valide (exit 0). Voir evidence/ffmpeg-binary-verification.md. Severite ramenee a minor; l'impact operateur reel est gouverne par BUG-004 (noeuds inatteignables depuis le flux create). // Cause avancee par l'agent: Même cause racine que voix-off-1: indisponibilité de lavfi dans le runtime serveur; aucune propagation d'échec (fallback silencieux à url='').,minor,broken,untested
BUG-014,voix-off,"src/app/admin/content-studio-v2/ai-engine/create/page.tsx (TONES), src/app/api/admin/ai-engine/generate/route.ts (generateRequestFlat), src/lib/ai-engine/nodes/parse-brief.ts",Les tons offerts dans l'UI sont acceptés par le moteur; la génération aboutit.,"Confirme. Desync d'enum sur 3 sources (UI, DTO route flat non contraint, parse-brief). empowering/authentic/urgent -> ZodError dans parseBrief -> status:failed avant tout node media. Identique mock/live.",3 des 6 tons de l'UI cassent toute la génération (y compris audio) instantanément. L'opérateur qui choisit le ton 'Empowering' (1er proposé après le placeholder) obtient un échec.,"Désynchronisation des enums entre l'UI, le DTO d'entrée et la validation interne parse-brief; le DTO route flat ne valide pas le ton et laisse passer des valeurs invalides en aval.",critical,broken,broken
BUG-015,copywriting,src/lib/content-studio/generation.ts (B) vs src/lib/ai-engine/nodes/generate-script|caption|variants.ts (A); bridge content-studio-bridge.ts,"Le parcours opérateur exploite le moteur AI-Engine (16 nœuds: script, caption, variants, voix-off, musique...) via le bridge.","Le create flow (CreateWorkspace.tsx:196) appelle /api/admin/content-studio/ideas/:id/generate -> generateForIdea (système B, fallback déterministe). Les nœuds AI-Engine (système A, prompts riches J-Beauty) ne sont importés QUE par nodes/index.ts et graph/builder.ts, atteignables uniquement via /api/admin/ai-engine/generate. Le bridge est unidirectionnel (AI-Engine -> Content-Studio) et n'est jamais déclenché par le parcours opérateur.","L'opérateur n'atteint JAMAIS les prompts de copywriting soignés (frameworks PAS/AIDA/BAB de generate-caption.ts, stratégie hashtags niche/mid/broad, script structuré). Il reçoit le template basique de generation.ts. Voix-off/musique/sous-titres/variants LLM sont hors de portée du parcours create.",Architecture à deux pipelines jamais fusionnés; le bridge ne couvre que le sens AI-Engine -> CS. CreateWorkspace ne référence aucune route /api/admin/ai-engine/*.,major,partial,broken
BUG-016,copywriting,src/app/api/admin/content-studio/models/route.ts + src/lib/ai-engine/services/model-discovery.ts (inferRole) + api-key-manager.ts,"Le picker role=chat propose des modèles de rédaction réellement utilisables, marqués 'live' quand la clé est configurée.","GET /api/admin/content-studio/models?role=chat&format=post renvoie en premier whisper-1 (modèle de transcription STT) avec source:'live', puis gpt-3.5-turbo. La discovery réussit car resolveApiKey('openai') retombe sur OPENAI_API_KEY (valide), mais la génération texte (generation.ts) n'utilise PAS cette clé -> tout modèle choisi est sans effet (fallback).",L'UI propose des modèles 'live' (i) inadaptés (whisper-1 ne génère pas de texte) et (ii) qui ne seront de toute façon jamais appelés par le chemin de génération. Double tromperie: faux 'live' + modèle ignoré.,"inferRole (model-discovery.ts:~165) classe en 'chat' par défaut tout id ne matchant pas embed/video/image/tts/speech — whisper-1 ne matche 'tts|speech' donc tombe en chat. resolveApiKey (api-key-manager.ts:42) chaîne ['AI_ENGINE_OPENAI_API_KEY','CONTENT_STUDIO_OPENAI_API_KEY','CHAT_OPENAI_API_KEY','OPENAI_API_KEY'] -> trouve OPENAI_API_KEY. Mais generation.ts a une chaîne différente et plus courte.",major,n/a,broken
BUG-017,copywriting,src/app/api/admin/content-studio/drafts/[id]/variation/route.ts -> service.createVariation -> repository.createDraftVariation:910,"Créer une variation produit un texte distinct (autre hook/angle/CTA), idéalement via les stratégies de generate-variants.ts (hook-alternatif, cta-different, emotion-different).","createDraftVariation:917-935 copie caption, hook, cta, altText, hashtags du parent à l'identique et ne change que variantLabel. Vérifié: variation 'angle-test' du draft cd_szd2vffv41jg1eq3 a EXACTEMENT la même caption et le même hook que le parent. Le schema accepte promptOverride mais la route ne le transmet pas et le repository l'ignore.","Aucune régénération de texte: l'opérateur croit obtenir une alternative rédactionnelle, il obtient un doublon relabelisé. Le nœud generate-variants.ts (3 angles distincts) n'est jamais appelé par ce chemin.",createDraftVariation est un simple clone DB. La route variation/route.ts:18 ne passe que variantLabel. draftVariationSchema:83-88 expose promptOverride mais il n'est jamais consommé.,major,broken,broken
BUG-018,copywriting,"src/lib/ai-engine/nodes/generate-script.test.ts, generate-caption.test.ts, generate-variants.test.ts","Les tests valident que le nœud appelle le LLM, parse le JSON, valide le schema et calcule le coût (chemin LIVE), ET le fallback.","Tous les mocks ChatOpenAI/Anthropic/Google sont `invoke: vi.fn().mockRejectedValue(new Error('No API key'))`. Donc seul le bloc catch (fallback) est exercé. Le parsing du JSON LLM, scriptOutputSchema.parse, l'estimation de coût et le response_format json_object ne sont jamais testés avec une réponse valide.",La couverture verte donne une fausse assurance: la génération LIVE (réelle) n'est pas testée. Un bug de parsing/schema en prod passerait inaperçu. Illustre le décalage test<->réalité.,Choix de mock systématiquement en échec; absence de cas de succès LLM mocké.,major,untested,untested
BUG-019,create-ui-flow,IntentionForm.tsx (ModelPicker role=chat) + models/route.ts discoveryRoleToStudio,Le picker de modele texte (label 'Modèle de génération') ne propose que des modeles de redaction (chat completion).,"GET /models?role=chat renvoie 106 entrees incluant whisper-1 (STT), omni-moderation-latest/2024 (moderation), sora-2 / sora-2-pro (video), gpt-realtime-* et gpt-audio-* (audio/realtime), davinci-002/babbage-002 (completions legacy). Tous source=live. L'operateur peut selectionner whisper-1 comme modele de generation de caption.",La projection role->studio (discoveryRoleToStudio) ne filtre que sur la string role renvoyee par discovery; whisper/sora/realtime sont classes 'chat' par la discovery OpenAI et passent le filtre. Aucune validation cote ideas/generate du modele recu.,models/route.ts discoveryRoleToStudio() accepte tout role 'chat' sans liste blanche de capacites. La discovery OpenAI classe en 'chat' des modeles non-chat. contentIdeaCreateSchema accepte model:z.string().min(1).max(120) sans validation contre le registre.,major,partial,broken
BUG-020,create-ui-flow,/api/admin/content-studio/ideas/[id]/generate/route.ts + generation.ts + CreateWorkspace.onCreated,"En mode live, generer les variantes appelle le LLM reel; le badge 'Généré par {model}' reflete le modele IA utilise. En mock, variantes simulees.","La route ideas/generate NE LIT PAS le cookie cs_generation_mode. generation.ts lit CONTENT_STUDIO_OPENAI_API_KEY ?? CHAT_OPENAI_API_KEY (les deux vides) et, sans cle, retourne fallbackGeneration => provider:'fallback', model:'deterministic-template'. Aucune erreur n'est levee. L'operateur en 'live' obtient un texte template en croyant avoir du texte IA. Le toggle Mock/Live n'a AUCUN effet sur le texte.",Le toggle de mode pilote uniquement generate-visual; la generation texte est mode-agnostique et degrade silencieusement.,generation.ts:70-72 fallback inconditionnel sans cle; route ideas/generate (route.ts entier) n'extrait jamais cookies().get('cs_generation_mode').,major,partial,broken
BUG-021,create-ui-flow,GenerationModeToggle.tsx + MediaStudio.tsx + StudioContext (mockMode),L'indicateur de mode et le toggle reflthe le meme etat que l'env serveur (CONTENT_STUDIO_V2_MOCK_MODE).,"Réel: le toggle affiche MOCK et pose cookie=mock; le MockModeBadge global (piloté par health.mockMode=false) ne s'affiche pas; les générations VISUELLES partent bien en mock (cookie + défaut serveur concordants). Seule l'indication globale (badge) est désynchronisée du toggle — incohérence cosmétique d'affichage, pas de divergence de comportement de génération.",Le defaut du toggle n'est pas alimente par l'env serveur; aucune synchronisation entre le toggle (cookie) et health.mockMode (env).,MediaStudio.tsx:179 <GenerationModeToggle /> sans envDefault; GenerationModeToggle.tsx:44 envDefault='mock' par defaut; health renvoie mockMode depuis l'env CONTENT_STUDIO_V2_MOCK_MODE (false).,major,partial,partial
BUG-022,create-ui-flow,CreateWorkspace.tsx onCreated (lignes 195-228),"Si la generation des variantes echoue (budget_exceeded, provider down), l'operateur voit une erreur claire et peut reessayer.","Dans onCreated: si res.ok est false, le bloc ne fait RIEN (aucun toast, aucun draft); le catch (ligne 226) est vide avec commentaire 'Generation failure is not blocking — user can retry.'. L'operateur se retrouve avec une idee creee mais zero variante affichee et aucun feedback. Etat UI bloque sans explication.",Aucune remontee d'erreur ni d'etat de chargement/echec pour l'etape generate apres creation d'idee.,CreateWorkspace.tsx:201 'if (res.ok) {...}' sans branche else; :226 catch {} vide.,major,partial,partial
BUG-023,create-ui-flow,e2e/content-studio-social-publishing-draft.spec.ts:227 (cleanupSeed) vs schema auditEvents,Le parcours operateur 'Brouillon Postiz' (envoi draft au provider) est valide par un E2E vert.,"Le test echoue avec PostgresError: relation ""audit_event"" does not exist, leve par cleanupSeed/seed qui requete la table singuliere audit_event. La table reelle en staging est audit_events (pluriel) — verifie: to_regclass('public.audit_event')=f, to_regclass('public.audit_events')=t. Le parcours publish-draft n'est donc PAS couvert par un E2E vert. La PRODUCTION fonctionne (route postiz-draft -> logAuditEvent -> drizzle schema.auditEvents -> table pluriel), mais c'est non teste de bout en bout.",Decalage nom de table entre le harness de test (singulier) et le schema/DB (pluriel); zone publish-draft non validee.,spec:226-227 tx`delete from audit_event ...` (et insert seed equivalent) utilise audit_event au lieu de audit_events.,major,broken,untested
BUG-024,create-ui-flow,models/route.ts materialiseDiscoveredModel + ModelPicker badge Live,Le badge 'Live' n'apparait que pour des modeles reellement disponibles via l'API live du provider.,"Pour role=image et role=video, discovery:{'higgsfield':'fallback'} (pas une vraie reponse live) mais les modeles flux_2, veo3_1, kling3_0, etc. sortent avec source='live' et donc badge vert 'Live' dans le picker. Or le credential Higgsfield est incomplet => 100% de ces modeles throwent invalid_state a la generation.",materialiseDiscoveredModel force source='live' independamment de la source reelle (fallback) renvoyee par discoverModels.,"models/route.ts:74 et :85 retournent toujours source:'live' pour les modeles discovered, sans propager r.source ('fallback'/'cache'/'live').",major,n/a,broken
BUG-025,generation-image,src/lib/content-studio/image-generation.ts (generateHiggsfieldImage) + video-generation.ts,Un modele hf-* avec credential complet genere une image/video via l'API Higgsfield.,"Meme avec un credential complet, generateHiggsfieldImage POST sur /v1/images/generate (synchrone) et attend json.images[] — alors que l'API reelle platform.higgsfield.ai est ASYNC: submit /v1/text2image/<model> puis poll /v1/requests/{id}/status. video-generation POST /v1/videos/generate + poll /v1/videos/status/{id} (chemins egalement faux). Non verifiable live (credential incomplet) -> casse par defaut.",Le chemin Higgsfield ne peut pas fonctionner contre la vraie API meme une fois le credential corrige; les tests le 'valident' contre le mauvais contrat.,Migration partielle: higgsfield-auth.ts a corrige host+schema d'auth (documente lignes 14-16) mais les endpoints et le modele async n'ont pas ete reecrits (TODO explicites image-generation.ts:167-170 et video-generation.ts:153-155).,major,n/a,untested
BUG-026,generation-image,src/lib/ai-engine/nodes/generate-images.ts vs src/lib/content-studio/image-generation.ts + bridge,L'AI-Engine LangGraph (16 noeuds) alimente la generation visuelle du Content Studio.,"Le flux create operateur (MediaStudio -> generate-visual -> generateStudioImage) est totalement separe du noeud generateImagesNode. Le bridge content-studio-bridge.ts n'importe PAS generateStudioImage ni generateImagesNode; generateImagesNode n'est appele que par /api/admin/ai-engine/generate (orchestrator) et les tests. Les deux chemins ont des routings, providers et fallbacks differents.","Comportements divergents selon le point d'entree; le noeud LangGraph (provider defaut 'openai' via AI_ENGINE_DEFAULT_IMAGE_PROVIDER) tenterait un vrai appel OpenAI avec OPENAI_API_KEY puis fallback vers une URL mock fictive jamais ecrite (/_media/ai-engine/mock/mock-img-*.png -> 404), alors que le flux create produit un vrai PNG/AVIF servi.","Deux implementations historiques paralleles (systeme A LangGraph, systeme B create) jamais unifiees. Le bridge ne relie pas la generation d'images.",major,partial,broken
BUG-027,generation-image,vitest suite (video-generation.test.ts) + image-generation.test.ts,Les tests verts prouvent que la generation image/video fonctionne.,vitest: 1695 passed / 0 failed MAIS VITEST_EXIT=1 a cause d'une unhandled rejection ('Higgsfield video failed: content policy violation') dans video-generation.test.ts via une promesse fake-timer pendante. De plus image-generation.test.ts:142 valide le POST vers le MAUVAIS endpoint synchrone /v1/images/generate. Les tests passent contre un contrat Higgsfield qui ne correspond pas a l'API reelle.,Confiance trompeuse: 'tout vert' alors que le process echoue et que le chemin live Higgsfield teste est faux par construction.,(a) Promesse non awaited dans un test fake-timer; (b) tests ecrits contre l'ancien contrat synchrone Higgsfield.,major,n/a,n/a
BUG-028,generation-image,ModelPicker.tsx (allowCustom + items discovery) -> image-generation.ts routing,Tout modele propose ou saisi dans le picker est utilisable pour generer.,"Le picker propose les id decouverts Higgsfield (flux_2, flux_kontext, seedream_v5_lite...) et permet la saisie custom. Ces id ne sont ni 'mock-*', ni 'hf-*', ni 'gpt-image-*/dall-e-*'. En live ils tombent au step 5 (OpenAI default) -> cle vide -> 409. En mock ils marchent (court-circuit) mais le run enregistre mock-low-cost-image.","Modeles selectionnables mais non routables -> erreur en live, comportement trompeur.",Le routing de image-generation.ts ne reconnait que les prefixes mock-/hf-/gpt-image-/dall-e-; les id de discovery Higgsfield (flux_2...) et tout id custom non prefixe ne sont pas mappes.,major,works,broken
