id,severity,severity_original,domain,component,title,mock_status,live_status,verdict,confidence,root_cause,repro,status,finding_md,gap_matrix_ref
BUG-011,critical,critical,test-mock-infrastructure,image-generation.ts / video-generation.ts (chemins live) + env staging,Génération LIVE entièrement non-fonctionnelle aujourd'hui et non couverte par un test qui le révèle,works,broken,confirmed,high,Tests live exercés contre des doublures avec credentials/réponses idéaux ; aucun test n'assert le comportement avec les credentials réels de staging (vides/incomplets). Endpoints HF non réécrits (TODO assumé).,"Poser cookie cs_generation_mode=live et tenter generate-visual sur un draft (NON exécuté ici par sécurité) → HttpError invalid_state. Vérifier env: CONTENT_STUDIO_OPENAI_API_KEY vide, HF key sans secret.",open,findings/BUG-011-g-n-ration-live-enti-rement-non-fonctionnelle-au.md,BUG-011
BUG-012,minor,critical,voix-off,"src/lib/ai-engine/nodes/generate-voiceover.ts, src/lib/ai-engine/nodes/generate-music.ts","Voix-off et musique cassées même en MOCK: ffmpeg 'lavfi' indisponible dans le process staging → assets vides, aucun fichier écrit",broken,untested,confirmed,high,[CORRECTION AUDITEUR PRINCIPAL 2026-05-29] La cause racine 'lavfi indisponible' est REFUTEE par contre-verification directe: le binaire ffmpeg-static de l'app supporte lavfi et la commande des noeuds produit un fichier valide (exit 0). Voir evidence/ffmpeg-binary-verification.md. Severite ramenee a minor; l'impact operateur reel est gouverne par BUG-004 (noeuds inatteignables depuis le flux create). // Cause avancee par l'agent: Les nodes utilisent ffmpeg().input('anullsrc=...').inputFormat('lav,"1. Cookie admin + cs_generation_mode=mock. 2. POST /api/admin/ai-engine/generate {platform:instagram, format:reel, tone:inspiring, keyMessage:..., humanReviewRequired:false}. 3. Observer status:completed mais videos url vide. 4. pm2 logs web | grep 'lavfi'. 5. ls .media-storage/ai-engine | grep -c voiceover => 0.",root-cause-refuted,,BUG-012
BUG-013,minor,critical,voix-off,"src/lib/ai-engine/nodes/generate-video.ts (generateMockVideo), src/lib/ai-engine/nodes/compose.ts (composeVideo), src/lib/ai-engine/nodes/transcode-export.ts","Flux vidéo mock cassé: la vidéo de base échoue (lavfi) → asset vide, donc compose/transcode n'ont aucune source et le sous-titre est le seul artefact",broken,untested,confirmed,high,[CORRECTION AUDITEUR PRINCIPAL 2026-05-29] La cause racine 'lavfi indisponible' est REFUTEE par contre-verification directe: le binaire ffmpeg-static de l'app supporte lavfi et la commande des noeuds produit un fichier valide (exit 0). Voir evidence/ffmpeg-binary-verification.md. Severite ramenee a minor; l'impact operateur reel est gouverne par BUG-004 (noeuds inatteignables depuis le flux create). // Cause avancee par l'agent: Même cause racine que voix-off-1: indisponibilité de lavfi dans le ,1. POST MOCK reel valide. 2. videos url vide. 3. pm2 logs grep 'lavfi'. 4. ls .media-storage/ai-engine | grep -cE '^video-' => 0; grep -c '\.mp4' => 0.,root-cause-refuted,,BUG-013
BUG-014,critical,critical,voix-off,"src/app/admin/content-studio-v2/ai-engine/create/page.tsx (TONES), src/app/api/admin/ai-engine/generate/route.ts (generateRequestFlat), src/lib/ai-engine/nodes/parse-brief.ts",Mismatch d'enum 'tone': l'UI AI-Engine propose des tons (empowering/authentic/urgent) rejetés par parse-brief → génération vidéo échoue AVANT tout node audio,broken,broken,confirmed,high,"Désynchronisation des enums entre l'UI, le DTO d'entrée et la validation interne parse-brief; le DTO route flat ne valide pas le ton et laisse passer des valeurs invalides en aval.",1. Cookie admin. 2. POST /api/admin/ai-engine/generate avec tone:'empowering'. 3. Observer status:failed + invalid_enum_value sur 'tone'.,open,findings/BUG-014-mismatch-d-enum-tone-l-ui-ai-engine-propose-des-.md,BUG-014
BUG-015,major,major,copywriting,src/lib/content-studio/generation.ts (B) vs src/lib/ai-engine/nodes/generate-script|caption|variants.ts (A); bridge content-studio-bridge.ts,Deux systèmes de génération de texte parallèles non connectés (operator create vs AI-Engine LangGraph),partial,broken,confirmed,high,Architecture à deux pipelines jamais fusionnés; le bridge ne couvre que le sens AI-Engine -> CS. CreateWorkspace ne référence aucune route /api/admin/ai-engine/*.,Tracer le clic 'Générer' depuis /admin/content-studio-v2/create: il POST /api/admin/content-studio/ideas/:id/generate (système B). Comparer avec POST /api/admin/ai-engine/generate (système A) qui produit script/caption via les nœuds LangGraph.,open,findings/BUG-015-deux-syst-mes-de-g-n-ration-de-texte-parall-les-.md,BUG-015
BUG-016,major,major,copywriting,src/app/api/admin/content-studio/models/route.ts + src/lib/ai-engine/services/model-discovery.ts (inferRole) + api-key-manager.ts,Desync picker de modèles: whisper-1 (STT) et gpt-3.5-turbo proposés en 'live' alors que la génération texte ne les utilisera jamais,n/a,broken,confirmed,high,"inferRole (model-discovery.ts:~165) classe en 'chat' par défaut tout id ne matchant pas embed/video/image/tts/speech — whisper-1 ne matche 'tts|speech' donc tombe en chat. resolveApiKey (api-key-manager.ts:42) chaîne ['AI_ENGINE_OPENAI_API_KEY','CONTENT_STUDIO_OPENAI_API_KEY','CHAT_OPENAI_API_KEY','OPENAI_API_KEY'] -> trouve OPENAI_API_KEY. Mais generation.ts a une chaîne différente et plus courte.",curl -H Cookie '/api/admin/content-studio/models?role=chat&format=post' et observer whisper-1 en tête avec source:'live'.,open,findings/BUG-016-desync-picker-de-mod-les-whisper-1-stt-et-gpt-3-.md,BUG-016
BUG-017,major,major,copywriting,src/app/api/admin/content-studio/drafts/[id]/variation/route.ts -> service.createVariation -> repository.createDraftVariation:910,"La 'variation' de draft ne régénère aucun texte — clone exact du parent, promptOverride ignoré",broken,broken,confirmed,high,createDraftVariation est un simple clone DB. La route variation/route.ts:18 ne passe que variantLabel. draftVariationSchema:83-88 expose promptOverride mais il n'est jamais consommé.,"1) Générer une idée -> draft. 2) POST /drafts/<draftId>/variation {variantLabel:'x', promptOverride:'change le hook'}. 3) Constater caption/hook identiques au parent.",open,findings/BUG-017-la-variation-de-draft-ne-r-g-n-re-aucun-texte-cl.md,BUG-017
BUG-018,major,major,copywriting,"src/lib/ai-engine/nodes/generate-script.test.ts, generate-caption.test.ts, generate-variants.test.ts",Tests des nœuds AI-Engine ne couvrent QUE le fallback (LLM mocké en rejet) — chemin LIVE jamais validé,untested,untested,confirmed,high,Choix de mock systématiquement en échec; absence de cas de succès LLM mocké.,Lire les fichiers .test.ts: aucun mock LLM ne retourne un JSON valide; tous les it() vérifient les valeurs du fallbackScript/fallbackCaption/deterministicVariants.,open,findings/BUG-018-tests-des-n-uds-ai-engine-ne-couvrent-que-le-fal.md,BUG-018
BUG-019,major,major,create-ui-flow,IntentionForm.tsx (ModelPicker role=chat) + models/route.ts discoveryRoleToStudio,"Picker 'Modèle de génération' (texte) liste 106 modeles dont whisper-1, sora-2, omni-moderation, gpt-realtime/audio",partial,broken,confirmed,high,models/route.ts discoveryRoleToStudio() accepte tout role 'chat' sans liste blanche de capacites. La discovery OpenAI classe en 'chat' des modeles non-chat. contentIdeaCreateSchema accepte model:z.string().min(1).max(120) sans validation contre le registre.,"1. /create. 2. Ouvrir le picker 'Modèle de génération' dans le cadre Intention. 3. Taper 'whisper' -> whisper-1 apparait selectionnable. 4. Le selectionner, enregistrer l'idee -> model='whisper-1' transmis a ideas/generate et logge sur content_generation_run.model.",open,findings/BUG-019-picker-mod-le-de-g-n-ration-texte-liste-106-mode.md,BUG-019
BUG-020,major,major,create-ui-flow,/api/admin/content-studio/ideas/[id]/generate/route.ts + generation.ts + CreateWorkspace.onCreated,Generation de texte/variantes ignore le cookie cs_generation_mode et tombe silencieusement sur template en 'live',partial,broken,confirmed,high,generation.ts:70-72 fallback inconditionnel sans cle; route ideas/generate (route.ts entier) n'extrait jamais cookies().get('cs_generation_mode').,"1. /create, toggle Live. 2. Creer une idee. 3. Variantes apparaissent (template deterministe). 4. Badge 'Généré par deterministic-template · fallback · gratuit' — mais l'operateur a demande le mode live.",open,findings/BUG-020-generation-de-texte-variantes-ignore-le-cookie-c.md,BUG-020
BUG-021,major,major,create-ui-flow,GenerationModeToggle.tsx + MediaStudio.tsx + StudioContext (mockMode),GenerationModeToggle defaut 'mock' contredit health.mockMode=false (etat affiche incoherent),partial,partial,confirmed,high,MediaStudio.tsx:179 <GenerationModeToggle /> sans envDefault; GenerationModeToggle.tsx:44 envDefault='mock' par defaut; health renvoie mockMode depuis l'env CONTENT_STUDIO_V2_MOCK_MODE (false).,1. /create. 2. Observer: toggle affiche MOCK actif (orange) mais aucun MockModeBadge dans le Stepper/footer (car mockMode=false). 3. La 1ere generation part en mock (cookie pose a mock).,open,findings/BUG-021-generationmodetoggle-defaut-mock-contredit-healt.md,BUG-021
BUG-022,major,major,create-ui-flow,CreateWorkspace.tsx onCreated (lignes 195-228),"Echec de generation de variantes silencieux: idee creee sans variantes, sans erreur a l'operateur",partial,partial,confirmed,high,CreateWorkspace.tsx:201 'if (res.ok) {...}' sans branche else; :226 catch {} vide.,"1. /create avec budget epuise ou provider en erreur. 2. Creer une idee. 3. L'idee est creee mais aucune variante n'apparait, aucun toast d'erreur. L'operateur est bloque sans savoir pourquoi.",open,findings/BUG-022-echec-de-generation-de-variantes-silencieux-idee.md,BUG-022
BUG-023,major,major,create-ui-flow,e2e/content-studio-social-publishing-draft.spec.ts:227 (cleanupSeed) vs schema auditEvents,E2E publish-draft Postiz casse sur 'relation audit_event does not exist' (table reelle = audit_events),broken,untested,confirmed,high,spec:226-227 tx`delete from audit_event ...` (et insert seed equivalent) utilise audit_event au lieu de audit_events.,1. pnpm playwright test content-studio-social-publishing-draft.spec.ts. 2. Echec immediat: relation audit_event does not exist (seed/cleanup).,open,findings/BUG-023-e2e-publish-draft-postiz-casse-sur-relation-audi.md,BUG-023
BUG-024,major,major,create-ui-flow,models/route.ts materialiseDiscoveredModel + ModelPicker badge Live,Higgsfield discovery renvoie source='fallback' mais les modeles sont materialises avec source='live' (badge Live trompeur),n/a,broken,confirmed,high,"models/route.ts:74 et :85 retournent toujours source:'live' pour les modeles discovered, sans propager r.source ('fallback'/'cache'/'live').","1. /create, picker video. 2. Modeles Higgsfield affiches avec badge 'Live'. 3. Selectionner veo3_1, generer en live => invalid_state credential incomplet.",open,findings/BUG-024-higgsfield-discovery-renvoie-source-fallback-mai.md,BUG-024
BUG-025,major,major,generation-image,src/lib/content-studio/image-generation.ts (generateHiggsfieldImage) + video-generation.ts,Endpoints Higgsfield image/video synchrones faux (API reelle = async submit+poll),n/a,untested,confirmed,high,Migration partielle: higgsfield-auth.ts a corrige host+schema d'auth (documente lignes 14-16) mais les endpoints et le modele async n'ont pas ete reecrits (TODO explicites image-generation.ts:167-170 et video-generation.ts:153-155).,Impossible a exercer live (credential incomplet). Analyse de code: comparer les chemins du code vs l'API reelle documentee.,open,findings/BUG-025-endpoints-higgsfield-image-video-synchrones-faux.md,BUG-025
BUG-026,major,major,generation-image,src/lib/ai-engine/nodes/generate-images.ts vs src/lib/content-studio/image-generation.ts + bridge,Deux systemes de generation image non connectes — le flux operateur n'atteint jamais le noeud LangGraph generate-images,partial,broken,confirmed,high,"Deux implementations historiques paralleles (systeme A LangGraph, systeme B create) jamais unifiees. Le bridge ne relie pas la generation d'images.","Comparer le chemin operateur (POST /api/admin/content-studio/drafts/[id]/generate-visual) vs POST /api/admin/ai-engine/generate: providers/fallback differents, le second renvoie des URLs mock non materialisees.",open,findings/BUG-026-deux-systemes-de-generation-image-non-connectes-.md,BUG-026
BUG-027,major,major,generation-image,vitest suite (video-generation.test.ts) + image-generation.test.ts,Rapport de tests tout-vert masque un echec process (vitest EXIT 1) et un mauvais contrat Higgsfield,n/a,n/a,confirmed,high,(a) Promesse non awaited dans un test fake-timer; (b) tests ecrits contre l'ancien contrat synchrone Higgsfield.,Lire /tmp/audit-vitest.log (Unhandled Rejection) et l'EXIT code dans /tmp/audit-vitest.json. Comparer l'endpoint asserte dans image-generation.test.ts:142 a l'API reelle.,open,findings/BUG-027-rapport-de-tests-tout-vert-masque-un-echec-proce.md,BUG-027
BUG-028,major,major,generation-image,ModelPicker.tsx (allowCustom + items discovery) -> image-generation.ts routing,"Picker autorise des id custom et des modeles decouverts non routables (flux_2, veo3_1) -> 409 a l'usage",works,broken,confirmed,high,Le routing de image-generation.ts ne reconnait que les prefixes mock-/hf-/gpt-image-/dall-e-; les id de discovery Higgsfield (flux_2...) et tout id custom non prefixe ne sont pas mappes.,"En live, choisir flux_2 (badge Live) ou saisir un id custom -> Generer -> 409 invalid_state (tombe sur OpenAI default, cle vide).",open,findings/BUG-028-picker-autorise-des-id-custom-et-des-modeles-dec.md,BUG-028
BUG-029,major,major,generation-video,e2e/content-studio-v2/create-mock-video.spec.ts:28 + src/components/admin/content-studio-v2/create/MediaStudio.tsx:240,"E2E create-mock-video:8 échoue: le test attend « Générer un visuel IA » mais le bouton vidéo est « Générer une vidéo IA » (bug test, pas app)",works,n/a,confirmed,high,Libellé du bouton conditionnel au kind introduit après l'écriture du spec; le sélecteur du spec n'a pas été mis à jour.,1) pnpm exec playwright test e2e/content-studio-v2/create-mock-video.spec.ts:8 → FAIL timeout. 2) Inspecter MediaStudio.tsx:240 et le page-snapshot → bouton 'Générer une vidéo IA' présent. 3) Sélectionner reel dans /create → le bouton affiché est bien 'Générer une vidéo IA'.,open,findings/BUG-029-e2e-create-mock-video-8-choue-le-test-attend-g-n.md,BUG-029
BUG-030,major,major,generation-video,src/lib/ai-engine/nodes/generate-video.ts + src/lib/ai-engine/nodes/compose.ts + .media-storage/ai-engine/,"Pipeline vidéo AI-Engine (generate-video/compose) jamais exécuté en réel: zéro MP4 produit, déconnecté du flux opérateur",partial,untested,confirmed,high,Deux systèmes parallèles non reliés pour la vidéo; le pont content-studio-bridge ne ramène que des images (skip mock images) et n'achemine pas de vidéo. Les nodes vidéo ne sont validés qu'en tests avec ffmpeg mocké.,1) ls .media-storage/ai-engine → aucun mp4. 2) Déclencher /api/admin/ai-engine/generate format=reel → vérifier qu'un mp4 réel apparaît (probable: échec ou fallback url='' selon dispo ffmpeg/providers).,open,findings/BUG-030-pipeline-vid-o-ai-engine-generate-video-compose-.md,BUG-030
BUG-031,major,major,generation-video,src/lib/ai-engine/nodes/compose.ts:15 + compose.test.ts / transcode-export.test.ts (paths relatifs vers .media-storage réel),Tests vidéo polluent le stockage média de PRODUCTION avec des stubs texte (mock de writeFile/sharp inopérant),broken,n/a,adjusted,high,MEDIA_DIR relatif partagé entre tests et runtime; mock writeFile partiel non garanti; absence d'isolation (tmpdir) dans les tests de nodes.,1) rm /tmp/m; pnpm vitest run src/lib/ai-engine/nodes/compose.test.ts. 2) ls -la .media-storage/ai-engine | grep composed → nouveaux fichiers 10-14 octets apparaissent.,open,findings/BUG-031-tests-vid-o-polluent-le-stockage-m-dia-de-produc.md,BUG-031
BUG-032,major,major,generation-video,src/lib/content-studio/video-generation.test.ts:198-224 + video-generation.ts:205-209,Vitest EXIT 1 (unhandled rejection) masqué par 1695 'passed' — test polling status=failed laisse une promesse rejetée orpheline,broken,n/a,confirmed,high,"Mauvaise gestion fake-timers/microtâches dans le test (multiples awaits après l'avance unique), pas de drain complet des timers avant l'assertion de rejet.",1) pnpm vitest run; echo $? → 1. 2) grep 'Unhandled Rejection' dans la sortie → 'Higgsfield video failed: content policy violation'.,open,findings/BUG-032-vitest-exit-1-unhandled-rejection-masqu-par-1695.md,BUG-032
BUG-033,major,critical,montage-composition,"src/lib/ai-engine/nodes/compose.ts, src/lib/ai-engine/nodes/transcode-export.ts, src/components/admin/content-studio-v2/create/MediaStudio.tsx",Le montage AI-Engine (compose/transcode) est inatteignable par l'opérateur du create flow,partial,broken,adjusted,high,Deux systèmes de génération parallèles non fusionnés. Le create flow est câblé sur le système B (content-studio/service.ts) tandis que compose/transcode appartiennent au système A (ai-engine/graph/builder.ts).,1. Ouvrir /admin/content-studio-v2/create. 2. Cliquer Générer un visuel IA. 3. Observer l'appel réseau → /drafts/<id>/generate-visual. 4. Constater qu'aucun composeNode/transcodeExportNode n'est exécuté (grep service.ts: aucun compose).,open,findings/BUG-033-le-montage-ai-engine-compose-transcode-est-inatt.md,BUG-033
BUG-034,major,major,montage-composition,src/lib/ai-engine/bridge/content-studio-bridge.ts,Le bridge ne propage pas composition/exports/thumbnails vers la bibliothèque,broken,broken,confirmed,high,"Le bridge a été écrit pour les métadonnées textuelles, pas pour les assets médias. Aucun mapping assetId AI-Engine → row table media.",1. POST /api/admin/ai-engine/generate (format post). 2. compose produit une image composée (provider 'compose'/'compose:mock'). 3. Le bridge tente upsertPrimaryAsset avec assetId 'composed-img-...' → introuvable en table media → catch silencieux. 4. Le draft créé n'a aucun asset.,open,findings/BUG-034-le-bridge-ne-propage-pas-composition-exports-thu.md,BUG-034
BUG-035,major,major,montage-composition,"src/lib/ai-engine/nodes/compose.test.ts, transcode-export.test.ts, .media-storage/ai-engine/*","Les tests de compose/transcode mockent intégralement sharp+ffmpeg+fs — zéro preuve réelle, artefacts de 10 octets sur disque",untested,untested,confirmed,high,Stratégie de test 100% mock sur les dépendances natives lourdes ; aucun test d'intégration avec ffmpeg/sharp réels (pourtant installés sur le serveur).,1. head -c10 composed-*.jpg → 'mock-image'. 2. grep vi.mock compose.test.ts → sharp/fluent-ffmpeg/fs mockés. 3. Constater qu'aucun assert ne porte sur des octets JPEG/MP4 réels.,open,findings/BUG-035-les-tests-de-compose-transcode-mockent-int-grale.md,BUG-035
BUG-036,major,major,montage-composition,"src/lib/ai-engine/nodes/compose.ts, src/lib/ai-engine/nodes/generate-subtitles.ts",Les sous-titres sont générés mais jamais incrustés ni muxés par compose,broken,broken,confirmed,high,compose.ts n'implémente pas le filtre subtitles ffmpeg ; le SRT n'est même pas écrit comme input.,1. Exécuter le video_flow du graphe. 2. generate-subtitles écrit un .srt. 3. compose mux audio mais n'ajoute pas le SRT. 4. ffprobe sur la sortie → aucune piste subtitle.,open,findings/BUG-036-les-sous-titres-sont-g-n-r-s-mais-jamais-incrust.md,BUG-036
BUG-037,major,major,publication-postiz,"src/lib/social-publishing/adapters/postiz.ts + src/lib/content-studio/postiz.ts (uploadPostizMediaFromUrl, createPostizDraft)",Mode LIVE Postiz jamais exercé end-to-end (upload média + POST /posts + extraction releaseURL non vérifiés en réel),n/a,untested,confirmed,high,Par conception sécuritaire (dry_run par défaut + comptes clients réels). Principe directeur: non vérifié dans les deux modes = cassé par défaut pour le live.,"Non exécutable sans risque: il faudrait poser SOCIAL_PUBLISHING_MODE=live et POSTer publish-now/draft-on-provider sur un compte Postiz réel, ce qui publierait sur un vrai compte client Instagram (interdit). Vérification possible uniquement sur un compte Postiz de test dédié.",open,findings/BUG-037-mode-live-postiz-jamais-exerc-end-to-end-upload-.md,BUG-037
BUG-038,major,major,publication-postiz,"src/lib/content-studio/service.ts (cancelScheduledPost L568, reschedulePost L603) + admin-service.scheduleContentPost",Cancel/Reschedule orphelinent les social_publish_job 'queued' (incohérence d'état latente),broken,broken,confirmed,high,Deux sous-systèmes (planning éditorial content_post via content-studio/service vs lifecycle de job social_publish_job via social-publishing/admin-service) non synchronisés sur cancel/reschedule.,"1) Programmer un post (crée job queued). 2) Annuler le post via /cancel. 3) content_post=cancelled mais le social_publish_job reste queued. 4) Si finding-1 corrigé et scheduler actif, le post annulé serait publié.",open,findings/BUG-038-cancel-reschedule-orphelinent-les-social-publish.md,BUG-038
