term_fr,term_ar,term_en,context,do_not_translate,notes
Bientôt de retour,متوفّر قريبا,Back soon,Stock UI,false,Sobre — pas de « Hurry! »
Le journal,المجلّة,The journal,Section éditoriale (blog),false,"« المجلّة » (magazine/revue) — plus éditorial que « المدوّنة » (blog)"
L'article,المقال,Article,Item de journal,false,Standard
Le contact,الاتصال,Contact,Page support,false,"Verbe AR « اتصلي » dans le CTA féminin"
La page,الصفحة,Page,Navigation,false,Standard
L'erreur,الخطأ,Error,UI système,false,Standard
Ce champ est requis,هذا الحقل مطلوب,This field is required,Validation formulaire,false,Standard
Format invalide,تنسيق غير صحيح,Invalid format,Validation formulaire,false,Standard
Le téléphone,الهاتف,Phone,Champ formulaire,false,Standard
L'e-mail,البريد الإلكتروني,Email,Champ formulaire,false,En FR « e-mail » avec trait d'union préféré à « email »
L'adresse,العنوان,Address,Champ formulaire,false,Standard
La ville,المدينة,City,Champ formulaire,false,Standard
Le code postal,الرمز البريدي,Postal code,Champ formulaire,false,Standard
Le prénom,الاسم الشخصي,First name,Champ formulaire,false,En AR forme officielle ; « الاسم الأوّل » accepté
Le nom,اسم العائلة,Last name,Champ formulaire,false,En AR forme complète préférée à « اللقب »
Newsletter,النشرة الإخبارية,Newsletter,Inscription emails,false,Mot AR officiel ; « نيوزلتر » à éviter (anglicisme)
S'inscrire,اشتركي,Sign up,CTA newsletter,false,En AR forme féminine
Se désinscrire,إلغاء الاشتراك,Unsubscribe,CTA newsletter,false,Standard
La confidentialité,الخصوصية,Privacy,Page légale,false,Standard
Les cookies,ملفّات الارتباط,Cookies,Page légale,false,"En AR forme officielle ; « كوكيز » emprunt à éviter en légal"
CGV,الشروط والأحكام,Terms of service,Page légale,false,"Conditions Générales de Vente — AR / EN formes officielles"
Les mentions légales,الإشعارات القانونية,Legal notices,Page légale,false,Standard
La politique,السياسة,Policy,Légal,false,Standard
Le droit,الحقّ,Right,Légal,false,Standard
Le consentement,الموافقة,Consent,RGPD/légal,false,Standard
Le client,الزبونة / العميلة,Customer,Persona,false,"En AR forme féminine (FemiGlow s'adresse à des clientes)"
La cliente,الزبونة,Customer (female),Persona,false,En AR forme féminine systématique
La fondatrice,المؤسِّسة,Founder,À-propos,false,En AR forme féminine systématique
L'atelier,الورشة,Workshop,À-propos,false,Standard
Casablanca,الدار البيضاء,Casablanca,Lieu (HQ),false,"En FR/EN nom international préservé ; en AR nom arabe officiel « الدار البيضاء »"
Le Maroc,المغرب,Morocco,Pays,false,Standard
Marocaine,مغربية,Moroccan,Adjectif (féminin),false,En AR forme féminine
MAD,درهم,MAD,Devise (dirham marocain),false,"En AR « درهم » accepté ; « MAD » aussi possible pour cohérence avec prix internationaux"
Dirham,درهم,Dirham,Devise (forme longue),false,Standard
Le rituel ongles en cinq minutes,طقوس الأظافر في خمس دقائق,Nail care in five minutes,Slogan / headline d'accueil,false,Phrase clé marque — vérifier cohérence partout
Composer mon kit,أنشئي كيتك,Compose your kit,CTA primaire FR « mon » devient « ton » en AR/EN (adresse à la cliente),false,Adaptation pronominale (français = je / autres = tu)
Découvrir le rituel,اكتشفي الطقوس,Discover the ritual,CTA primaire,false,Standard
Un kit pensé pour vous,كيت مصمَّم من أجلك,A kit designed for you,Argument USP,false,"En AR « من أجلك » (féminin singulier)"
Trois gestes une couleur,ثلاث حركات لون واحد,Three gestures one color,Slogan rituel,false,Phrase structurée nominale courte
