id_tache,titre,axe,priorite,findings,dependances,critere_fin_mesurable,effort,statut
T-104,Bridge media A->B: remonter composition/exports/thumbnails jusqu'a l'operateur,montage-composition,P1,BUG-004;MISS-005;BUG-034;BUG-033,T-006;T-010,"Un job AI-Engine (reel) produit une composition; apres bridge le draft cree possede un asset media reel (row media, fichier servi 200) visible en bibliotheque; l'UI rend composition/exports. Verifie en mock; live depend de T-101/T-103",L,a_faire
T-201,Generation de texte operateur reellement LLM (sortir du fallback fige),copywriting,P2,BUG-005;BUG-020;MISS-001;MISS-012;MISS-013,T-005,"En Live, generer une idee produit des variantes avec generation_run provider=openai model=<choisi> succeeded; en mock fallback assume; le toggle mock/live change reellement le comportement (comparaison des deux runs)",M,a_faire
T-202,Aligner le picker sur la generabilite reelle (badges Live honnetes),create-ui-flow,P2,BUG-006;BUG-007;BUG-024;BUG-019;BUG-043;BUG-016;MISS-002;MISS-015;MISS-018;MISS-019,T-005;T-101;T-201,"GET /models?role=image renvoie source:'live' uniquement pour les modeles generables; un modele Higgsfield fallback porte source:'fallback'; role=chat sans whisper-1/davinci-002; selectionner un modele Live et generer reussit (ne throw plus)",M,a_faire
T-203,Aligner l'enum tone (UI AI-Engine <-> parse-brief),voix-off,P2,BUG-014,,"POST /ai-engine/generate avec chaque ton de l'UI -> status != failed/invalid_enum_value; un ton hors-liste rejete au DTO avec message clair. Prouve sur tous les tons de l'UI",S,a_faire
T-204,Empecher la double-publication (idempotence independante du scheduledAt + publishability),publication-postiz,P2,MISS-006;MISS-028,,"Test: publish-now sur un post ayant deja un job programme -> un seul envoi; reschedule deux fois -> un seul social_publish_job queued. Verifie en mock avec scheduler actif. Precede l'activation live de T-103b",M,a_faire
T-301,Synchroniser content_post <-> social_publish_job sur cancel/reschedule,publication-postiz,P3,BUG-038,,"Annuler un post programme -> social_publish_job passe cancelled (GET /publish-jobs); avec scheduler actif (T-103b mock) un post annule n'est jamais publie. Precede l'activation live de T-103b",M,a_faire
T-302,Retry automatique des jobs failed retryables,publication-postiz,P3,BUG-038,T-103b,"Un job en echec transitoire (5xx simule en mock) est repris automatiquement et finit published; apres N echecs reste failed avec lastError visible dans l'UI. Prouve en mock",M,a_faire
T-303,Imposer la selection explicite de compte Postiz en live,publication-postiz,P3,BUG-039,,"Publier sans accountId en live avec >1 compte -> 409 invalid_state; avec accountId -> publication ciblee. Verifie en dry_run (statut/permalink dedies au compte choisi)",M,a_faire
T-304,Rendre les fallbacks audibles (jamais de faux succes silencieux),fiabilite,P3,MISS-020;MISS-026;BUG-022;BUG-049;BUG-050;MISS-011;MISS-021,T-104;T-010,"Un echec de generation de variantes affiche un toast d'erreur (plus de catch vide); un job avec media manquant n'est plus completed quality 0.91 mais failed/degraded avec raison; aucun <video src=''> rendu. Prouve par erreur provoquee en mock",M,a_faire
T-305,Variation de draft: regenerer reellement le texte (promptOverride consomme),copywriting,P3,BUG-017,T-201,"POST /drafts/<id>/variation {promptOverride:'change le hook'} -> caption/hook differents du parent; en mock variation deterministe distincte. Prouve par comparaison parent/variante",S,a_faire
T-306,Isoler le stockage des tests + purger les stubs de prod,test-mock-infrastructure,P3,BUG-031;MISS-004;MISS-024;MISS-032;BUG-035,,"vitest run n'ecrit aucun fichier dans .media-storage/ai-engine runtime; find .media-storage/ai-engine -size -100c | wc -l = 0 apres purge; aucune row media ne pointe vers un fichier <100 octets (requete SQL verifiee)",M,a_faire
T-307,Tests d'integration media reels (ffmpeg/sharp installes),montage-composition,P3,BUG-035;BUG-036;MISS-025;MISS-026;MISS-027,T-306;T-104,"Un test compose produit un MP4 dont ffprobe confirme duree/codec ET une piste sous-titre quand un SRT est fourni; aucun artefact de 10-14 octets. Prouve par ffprobe/file",L,a_faire
T-308,dry_run honnete: permaliens/metadata derives du mode resolu + capabilities fraiches,publication-postiz,P3,BUG-045;BUG-065;MISS-029,T-006,"Un post dry_run porte metadata.dryRun=true, un live porterait false (code + test de parite); /publishability ne renvoie plus de capabilities stale incoherentes. Prouve par probe + contract test",M,a_faire
T-309,Re-generation d'une idee generated: erreur metier propre (409 au lieu de 500),copywriting,P3,BUG-051,,"Re-POST /ideas/<id>/generate sur une idee deja generated -> 409 au message clair, pas 500. Prouve par probe",S,a_faire
T-410,Caches process: invalidation sur changement env,process,P4,MISS-030;MISS-033;BUG-043,T-202,"Changer la cle puis re-interroger /models reflete l'etat reel dans la fenetre attendue (< TTL documente); aucun source:'live' servi depuis un cache apres disparition de la cle. Prouve par probe",M,a_faire
T-411,MEDIA_DIR absolu independant du cwd,test-mock-infrastructure,P4,MISS-024;MISS-032,T-306,"Lancer un node media depuis un cwd != apps/web ecrit/sert au bon emplacement (test avec cwd modifie). Prouve",S,a_faire
T-412,Taxonomies objectifs/piliers unifiees + libelles humains + fallback texte adapte,copywriting,P4,BUG-052;MISS-014,T-201,"Generer pour chaque combinaison pillar x objective x format produit un texte adapte (pas le meme bloc post pour un reel); aucun label brut a tirets dans l'UI. Prouve sur >=3 combinaisons",M,a_faire
T-413,Coherence du toggle de mode (3 sources de verite reconciliees),create-ui-flow,P4,BUG-021;MISS-016;MISS-017;MISS-034,T-005,"A /create, toggle, badge et comportement serveur concordent (un seul mode affiche = mode applique); une generation sans cookie respecte CONTENT_STUDIO_V2_MOCK_MODE. Prouve par probe",S,a_faire
T-414,formatError ne doit pas ecraser le message serveur utile,create-ui-flow,P4,BUG-054,,"Approuver un draft sans media affiche le message serveur precis, pas 'Etat de draft invalide' generique. Prouve par probe",S,a_faire
T-415,Garde kind=video sur formats non-video (post/carousel),generation-video,P4,MISS-023;BUG-029,,"Impossible de selectionner kind=video sur un format non-video dans l'UI; un POST force renvoie un message clair, pas une 500. Prouve par probe",S,a_faire
T-901,Clarifier puis converger les pipelines A/B (decision produit ADR-0007),evolutivite,P2,BUG-015;BUG-026;BUG-030;BUG-047;BUG-048,T-104,"Arbitrage ADR-0007 trance (Option 1 converger / Option 2 assumer+retirer les faux affordances); apres implem, plus aucune feature annoncee en UI n'est inatteignable (verifie par parcours operateur mock: chaque modele/format propose produit un asset OU est absent), et la duplication A/B est soit fusionnee soit documentee comme deux moteurs distincts",L,a_faire
T-902,Dette residuelle — findings mineurs/info regroupes,maintenabilite,P4,BUG-012;BUG-013;BUG-053;BUG-056;BUG-057;BUG-058;BUG-059;BUG-060;BUG-061;BUG-062;BUG-063;BUG-066;BUG-067;BUG-068;BUG-069,,Chaque finding mineur/info du lot est soit corrige soit explicitement accepte (statut 'wontfix' justifie au registre); BUG-012/013 deja reclasses root-cause-refuted (cf evidence/ffmpeg-binary-verification.md) — re-verifier seulement si le pipeline A est cable a l'operateur,M,a_faire
