id,interface,categorie,severite,titre,description,reference,recommandation,chantier
DASH-01,dashboard,fonctionnalite,majeure,Fenêtre KPI figée à 7 jours,Aucun sélecteur de période (24h/7j/30j) ; impossible de comparer ou de zoomer sans aller au cockpit,page.tsx:60; queries.ts:94,Sélecteur de fenêtre (URL param) réutilisant le pattern ?window= du summary cockpit,C3
DASH-02,dashboard,lisibilite,majeure,KPI « Livrés » à signaux contradictoires,Affiche un nombre + sous-texte « delivery silencieux ? webhook ? » : nombre réel mais légende interrogative,KpiCards.tsx:76-80,Sous-texte déterministe : « 0 livré — webhook muet depuis HH:MM » ou « {pct} des envoyés »,C3
DASH-03,dashboard,fiabilite,majeure,Pas d'auto-refresh : badge santé périmé,HealthBadge et KPI figés au render ; un incident survenant après le chargement reste invisible (page laissée ouverte),page.tsx:32-51,Auto-refresh 60 s (ou aria-live + bouton si refus) + âge des données visible en continu,C3
DASH-04,dashboard,lisibilite,mineure,Compteur « En attente » sans âge du relevé,L'opérateur voit 342 pending et croit le cron cassé alors que le tick 60 s n'est pas passé,KpiCards.tsx; page.tsx:106,Sous-texte « relevé il y a Xs — drain cron 60s »,C3
DASH-05,dashboard,design,mineure,Empty state de la table « Derniers envois » faible,Lien CTA noyé dans une cellule de table ; « sur la période » vague,page.tsx:151-162,Utiliser <EmptyState> (TRV-09) avec mention explicite « 7 derniers jours »,C3
DASH-06,dashboard,fonctionnalite,mineure,Pas d'indicateur de tendance sur les KPI,Le cockpit a comparison vs J-1 ; le dashboard non — impossible de juger si « 42 échecs » est normal,KpiHeader.tsx:28 vs KpiCards.tsx,Réutiliser le summary (sparkline + % vs J-1) sur les cartes dashboard,C3
DASH-07,dashboard,lisibilite,mineure,Libellé « Bounce perm. » tronqué,Abréviation ambiguë dans badge et tables,common/StatusBadge.tsx:45,« Bounce permanent » (ou tooltip portant le libellé complet),C1
DASH-08,dashboard,lisibilite,mineure,Heures affichées sans timezone,toLocaleTimeString sans suffixe : l'opérateur ignore si c'est UTC ou local,DashboardFreshness.tsx:22,Couvert par <Freshness> (TRV-05),C1
DASH-09,dashboard,lisibilite,mineure,Message d'erreur présume la cause (DB),« souvent une base de données momentanément injoignable » affiché pour toute erreur,error.tsx:37,Message générique + digest + lien logs,C3
DASH-10,dashboard,lisibilite,mineure,Placeholder palette ne mentionne que Cmd-K,Utilisateurs Windows/Linux non couverts dans le placeholder (le hint global les couvre),GlobalCommandPalette.tsx:160,« (Cmd-K / Ctrl-K) »,C3
DASH-11,dashboard,a11y,mineure,Contraste limite rose-700 sur rose-50 dans HealthBadge,Résumé d'échecs ~4.5:1 : limite WCAG AA,HealthBadge.tsx:82-161,Passer en rose-800 ou fond blanc,C10
DASH-12,dashboard,navigation,mineure,Deep-links santé sans contexte à l'arrivée,Clic « Voir la DLQ → » ouvre le cockpit filtré sans rappeler pourquoi (seuil franchi),HealthBadge.tsx:120-156,Bannière contextuelle dans le cockpit quand ?from=health,C3
CKPT-01,transactionnel,fonctionnalite,critique,Export CSV limité à la page visible sans avertissement,Sélection multi-pages : l'export ne couvre que les lignes de la page courante (searchResult.rows) ; aucun warning — l'opérateur croit exporter toute sa sélection,TransactionalCockpit.tsx:494-511,Export serveur sur les filtres courants (POST /export streaming) ou au minimum libellé « Exporter CSV (page) » + warning,C3
CKPT-02,transactionnel,i18n,mineure,Raisons d'ignorés en anglais brut,« not_found » « wrong_status » affichés tels quels dans le feedback bulk,TransactionalCockpit.tsx:451-470,Map FR : « non trouvé » / « statut non relançable »,C3
CKPT-03,transactionnel,feedback,majeure,Erreurs de parsing des filtres jamais affichées,parsed.errors est calculé (ex. attempts:abc) mais jamais rendu : le filtre invalide est ignoré en silence,filters-parser.ts:70-75; CommandPalette.tsx,Section d'avertissement dans la palette + liseré rouge sur l'input,C3
CKPT-04,transactionnel,lisibilite,majeure,« Sélectionner tout » limité à la page sans option page-suivante,Warning seulement après coup ; pas de « sélectionner les N correspondants aux filtres »,FilteredTable.tsx:152-168,Lien « Sélectionner les {total} résultats » (pattern Gmail) avec actions bulk côté serveur par filtre,C3
CKPT-05,transactionnel,lisibilite,mineure,Sparkline « En file » vide sans explication,Carte sans graphe au milieu de 3 cartes avec sparkline : ressemble à un bug (mitigation F-015 volontaire),KpiHeader.tsx:244-254,Placeholder « — » + tooltip « série non disponible pour la file »,C3
CKPT-06,transactionnel,lisibilite,mineure,Total tronqué « 5 000+ » sans explication,Le suffixe + (window=truncated) n'est pas expliqué,search.ts:168-212; TransactionalCockpit.tsx:841-875,Tooltip « plus de 5 000 résultats — affinez les filtres »,C3
CKPT-07,transactionnel,lisibilite,mineure,Feedback reap-stuck n'explique pas le statut résultant,« N envois libérés » sans préciser repassés en file ou DLQ,TransactionalCockpit.tsx:320-324,« N libérés → re-mis en file (ou DLQ si plafond atteint) »,C3
CKPT-08,transactionnel,lisibilite,mineure,Timeline : différence sent/delivered non expliquée,Badge source webhook/app subtil ; l'opérateur ne comprend pas pourquoi un mail reste « Envoyé »,transactional/[id]/page.tsx:107-126,Légende de timeline + icône 📡 pour les événements webhook,C3
CKPT-09,transactionnel,navigation,mineure,Pas de retour en bas de page détail,Page détail très longue (préview 600px + timeline + payload) ; breadcrumb seulement en haut,transactional/[id]/page.tsx,Lien « ← Retour à la liste » en pied + position sticky du header,C3
CKPT-10,transactionnel,lisibilite,info,Confirm suppress compte les adresses distinctes,10 lignes sélectionnées → « Bloquer 5 adresses » peut surprendre (comportement correct UX-COCKPIT-007),TransactionalCockpit.tsx:534-548,Ajouter « (10 lignes sélectionnées) » dans le dialog,C3
CKPT-11,transactionnel,code,info,Checkbox indeterminate par mutation DOM directe,el.indeterminate posé en ref callback : fragile selon les rerenders,FilteredTable.tsx:177-180,useEffect dédié ou icône tri-état explicite,C3
CKPT-12,transactionnel,fonctionnalite,mineure,Pagination offset sans saut de page,Précédent/Suivant uniquement ; pénible au-delà de quelques pages,TransactionalCockpit.tsx:841-875,Input « aller à la page » + premières/dernières,C3
CAMP-01,campagnes,fiabilite,critique,Envoi bloqué indéfiniment si l'API d'estimation échoue,Étape 6 : submit désactivé tant que estimateKnown est faux ; si preview-size reste down il n'existe AUCUN moyen d'envoyer,CampaignWizard.tsx:768-770,Fallback explicite après N échecs : « envoyer sans estimation » avec double confirmation,C4
CAMP-02,campagnes,lisibilite,majeure,Métriques « n/d » sans explication utilisateur,Livrés/Désabos affichent n/d (non alimentés par le sync) — l'admin croit à un bug,campaigns/[id]/page.tsx:150-157,Tooltip/aide « non couvert par le poll Listmonk — voir docs » + lien chantier webhook,C4
CAMP-03,campagnes,formulaire,majeure,Pas d'autosave debounced ni reprise à l'étape courante,Brouillon sauvé seulement aux transitions d'étape ; retour = étape 1 ; spec §2.5 prévoyait « Brouillon enregistré il y a 2 s »,CampaignWizard.tsx:19,Autosave debounced 2 s + colonne wizard_step persistée + indicateur de sauvegarde,C4
CAMP-04,campagnes,fonctionnalite,majeure,Test send impossible sans template Listmonk,Corps libre = envoi à l'aveugle (aucune épreuve possible),wizard-actions.ts:372-377,Route de test interne via le pipeline transactionnel (outbox) pour le corps libre,C4
CAMP-05,campagnes,formulaire,majeure,Stepper non cliquable,Impossible de sauter de l'étape 5 à la 2 sans marteler « Précédent » (spec §2.6 le prévoyait),CampaignWizard.tsx:278-298,Couvert par <Wizard> partagé (TRV-08),C1
CAMP-06,campagnes,fiabilite,majeure,Dupliquer réinitialise la planification en silence,duplicateCampaign force scheduledFor:null — l'utilisateur s'attend à retrouver sa planification,wizard-actions.ts:543,Toast post-duplication « planification réinitialisée » + option la conserver,C4
CAMP-07,campagnes,fiabilite,majeure,datetime-local sans timezone explicite,Heure de la timezone du navigateur sans le dire ; champ timezone de la spec non exposé,CampaignWizard.tsx:674-679,Afficher « heure de Casablanca (UTC+1) » + stocker en TZ explicite,C4
CAMP-08,campagnes,navigation,info,Pas de route /campaigns/new,Création via formulaire inline de la liste (404 si navigation directe vers /new) — incohérent avec audiences/templates/automations,app/admin/emails/campaigns/,Route /new redirigeant vers le formulaire (ou modal route-based),C2
CAMP-09,campagnes,feedback,mineure,Estimation « … » figée en cas d'erreur,Si le fetch échoue l'ellipse reste affichée tant qu'on ne voit pas l'alerte plus bas,CampaignWizard.tsx:481-494,Remplacer « … » par « échec — réessayer » au même endroit,C4
CAMP-10,campagnes,feedback,mineure,« Rafraîchir les métriques » sans feedback,Revalidation silencieuse : aucun spinner ni toast,CampaignActions.tsx:72-76,Spinner pendant useFormStatus + toast « métriques à jour »,C4
CAMP-11,campagnes,lisibilite,mineure,Multi-sélection de listes sans récapitulatif,Pas de « N listes sélectionnées » ; seule l'estimation basse de page l'indique,CampaignWizard.tsx:441-477,Chips des listes sélectionnées au-dessus de l'estimation,C4
CAMP-12,campagnes,formulaire,mineure,Pas de vérification d'unicité du nom,Deux campagnes actives au même nom passent (spec prévoyait un warning non bloquant),CreateCampaignForm.tsx,Warning async non bloquant à la création,C4
CAMP-13,campagnes,fonctionnalite,info,A/B test spécifié mais non implémenté,Colonne abVariant en DB + spec §6.5 ; aucun rendu wizard,CampaignWizard.tsx:4-10,Décision produit : implémenter ou retirer de la spec,C4
CAMP-14,campagnes,fonctionnalite,info,Raccourcis clavier spec non implémentés,Ctrl+→/←/S/Esc absents du wizard,CampaignWizard.tsx,Couvert par <Wizard> partagé (TRV-08),C1
CAMP-15,campagnes,fiabilite,majeure,Campagne orpheline si crash entre création Listmonk et persist de l'ID,listmonk_campaign_id peut rester null avec statut sending : pause/cancel impossibles depuis l'UI,wizard-actions.ts:227-286,Détection « orpheline » en détail (bannière + bouton ré-association/marquer failed),C4
CAMP-16,campagnes,fonctionnalite,mineure,Recherche limitée à nom+sujet,Pas de recherche dans le corps ni par template,campaigns-queries.ts:76-82,Étendre le ILIKE au template et au corps (ou pgroonga plus tard),C4
AUTO-01,automations,fonctionnalite,critique,Pas de vue de flux : branches illisibles,Steps = cartes inline dépliables ; branches if/else en grilles imbriquées ; aucune représentation arborescente — une automation à 2 niveaux de branches est indéchiffrable,StepList.tsx:62-115,Vue arborescente verticale read-only (cards indentées + connecteurs) en V1 ; éditeur de flux drag-drop en V2,C5
AUTO-02,automations,observabilite,critique,Debug de run = contextJson brut,Aucun log par étape ni inspection de variables : il faut décoder _path/_deferredReason à la main dans le <details> JSON,runs/[id]/page.tsx:272-280,"Timeline enrichie par étape : horodatage, résultat (tag posé, réponse webhook), raisons humanisées inline",C5
AUTO-03,automations,fonctionnalite,majeure,Pas de test-run / dry-run,Il faut déclencher un vrai événement pour valider une automation à 5 étapes,aucun endpoint,Bouton « Tester sur un contact » (exécution sandbox sans envoi réel ou avec redirect boîte de test),C5
AUTO-04,automations,lisibilite,critique,Daily cap : libellé contredit l'implémentation,UI dit « par destinataire » ; frequency.ts compte les runs PAR AUTOMATION entière — risque de sous-envoi massif non compris,FrequencySettings.tsx:106-108; frequency.ts:67-92,Corriger le libellé (« plafond global/jour pour cette automation ») + envisager un cap par destinataire réel,C5
AUTO-05,automations,fiabilite,majeure,Triggers schedule/webhook fantômes,"Sélectionnables (« bientôt »), persistés inactifs, indistinguables d'une automation simplement désactivée dans la liste",AutomationWizard.tsx:229-240; event-dispatcher.ts:108-109,Badge « non opérationnel » dans la liste + (mieux) retirer les options jusqu'à implémentation,C5
AUTO-06,automations,fonctionnalite,majeure,Pas de replay depuis le début,Retry reprend au currentStep uniquement ; un run cassé à l'étape 1 ne peut pas être rejoué intégralement,automation-actions.ts:112-163,Variante « Réinitialiser et rejouer » (avec confirmation),C5
AUTO-07,automations,lisibilite,mineure,Immutabilité du slug peu visible,Champ disabled + helper discret seulement,AutomationWizard.tsx:203,Icône cadenas + tooltip,C5
AUTO-08,automations,lisibilite,mineure,Événement déclencheur et conditions mal reliés,Deux sections séparées sans phrase reliant « l'événement déclenche ; les conditions filtrent QUI est enrôlé »,AutomationWizard.tsx:243-323,Encart explicatif inline reliant les deux,C5
AUTO-09,automations,feedback,mineure,« Suivant » désactivé sans pointer l'erreur,Le message de validation est loin du bouton ; l'utilisateur ne sait pas pourquoi il ne peut pas avancer,AutomationWizard.tsx:117-129,Lister les blocages sous le bouton (ou ancre vers le champ),C5
AUTO-10,automations,lisibilite,mineure,« step ? » quand _skippedStep est null,Alerte skip affiche un numéro de step indéfini,runs/[id]/page.tsx:200-205,Fallback « étape inconnue » + garantir le champ côté runner,C5
AUTO-11,automations,observabilite,mineure,Orphan-sweep invisible,Les runs ré-armés/passés en erreur par le sweep sont indistinguables ; aucune trace UI,orphan-sweep.ts; runner.ts:84,Tag « ré-armé par le sweep » dans le détail du run,C5
AUTO-12,automations,code,majeure,deleteAutomation : code mort dangereux (R-031),Server action DELETE brut (vs FK RESTRICT) jamais câblée à l'UI ; si quelqu'un la branche sans fix → crash FK,automation-mutations.ts:133-149,Soit supprimer l'action soit la corriger (soft-delete + guard runs) AVANT tout câblage,C5
AUTO-13,automations,lisibilite,mineure,Catalogue d'événements non groupé,AUTOMATION_EVENT_CATALOG porte des catégories (lifecycle/commerce/email/…) ; dropdown plat,step-types-v2.ts:113-137,<optgroup> par catégorie,C5
AUTO-14,automations,lisibilite,mineure,wait_for_event onTimeout=continue ambigu,Le devenir après timeout (passe à l'étape suivante ?) n'est pas explicité,StepEditor.tsx:359-370,Phrase dynamique « au timeout → continue vers l'étape N+1 »,C5
AUTO-15,automations,a11y,mineure,Stepper non navigable clavier,Pills visuelles sans role tablist/tab,AutomationWizard.tsx:159-175,Couvert par <Wizard> partagé (TRV-08),C1
AUTO-16,automations,lisibilite,info,Filtres runs sans compteur de résultats,Il faut regarder la table pour savoir si le filtre a donné quelque chose,runs/page.tsx:85-92,Badge « N résultats » près du bouton Filtrer,C5
TPL-01,templates,fiabilite,critique,Pas d'autosave ni garde de sortie,isDirty tracké mais sauvegarde uniquement manuelle ; aucune protection beforeunload : crash navigateur = perte de travail,TemplateEditor.tsx:39-46,Autosave brouillon (localStorage ou version draft) + beforeunload guard,C6
TPL-02,templates,fonctionnalite,majeure,Découverte des variables quasi nulle,"5 boutons hardcodés sur 20+ variables réelles (commerce, dates, urls, trigger.*) ; aucune autocomplétion sur {{",TemplateEditor.tsx:19; context-resolver.ts:118-157,Panneau listant TOUTES les variables résolues (avec valeur preview) + autocomplete sur «{{» dans l'éditeur,C6
TPL-03,templates,fonctionnalite,majeure,Éditeur HTML = textarea nu,Pas de coloration ni lint ; erreurs Handlebars détectées seulement au retour du preview (600 ms),TemplateEditor.tsx:174-183,CodeMirror (HTML+Handlebars) avec lint inline,C6
TPL-04,templates,fonctionnalite,majeure,Pas de preview mobile,iframe desktop seule alors que la majorité des emails s'ouvrent sur mobile,TemplateEditor.tsx:228-239,Toggle Desktop/Mobile (375px) sur l'iframe,C6
TPL-05,templates,fonctionnalite,majeure,Pas de diff entre versions,Restauration possible mais comparaison impossible (qu'est-ce qui a changé en v7 ?),TemplateEditor.tsx:292-330,Vue diff côte à côte (subject+html) avant restauration,C6
TPL-06,templates,fonctionnalite,majeure,Pas d'envoi de test,Preview iframe seulement — aucun moyen de recevoir l'épreuve dans une vraie boîte,TemplateEditor.tsx,Bouton « M'envoyer un test » via le pipeline transactionnel,C6
TPL-07,templates,formulaire,mineure,Insertion de variable en fin de source uniquement,insertVar appende au lieu d'insérer au curseur,TemplateEditor.tsx:144,Suivre selectionStart du textarea (ou CodeMirror),C6
TPL-08,templates,fonctionnalite,mineure,DELETE API sans bouton UI,La route refuse si le template est référencé par une automation — mais aucune UI ne l'expose,api/templates/[id]/route.ts,Bouton Supprimer (liste + édition) affichant les automations bloquantes,C6
TPL-09,templates,fonctionnalite,mineure,Ni duplication ni export/import,Pas de clonage comme point de départ ; pas de sauvegarde hors DB,templates/page.tsx,Action « Dupliquer » + export JSON,C6
TPL-10,templates,feedback,mineure,Aucun feedback de succès à la création de version,La version apparaît dans la liste sans toast,TemplateEditor.tsx:135,Toast « v3 créée » (via C1),C1
TPL-11,templates,donnees,mineure,Variables city/address toujours vides,Proposées par le contexte mais aucune colonne leads : rendent toujours '',context-resolver.ts:125-126,Les retirer du contexte (ou les marquer « non disponible ») tant que les colonnes n'existent pas,C6
TPL-12,templates,fonctionnalite,mineure,Liste sans tri/recherche/pagination,Table brute par date de modification,templates/page.tsx:50-101,Recherche slug/nom + tri colonnes dès >20 templates,C6
TPL-13,templates,a11y,mineure,ARIA lacunaire dans l'éditeur,Bouton « ↻ » sans aria-label ; erreurs sans aria-live ; placeholders faisant office de labels,TemplateEditor.tsx,Passe a11y dédiée (labels explicites + live regions),C10
TPL-14,templates,fiabilite,majeure,Aucun avertissement si le template est utilisé par une automation active,Éditer un template en production le modifie pour les prochains envois sans prévenir,TemplateEditor.tsx,Bannière « utilisé par N automation(s) active(s) » + lien,C6
AUD-01,audiences,fiabilite,critique,Règles has_tag/not_has_tag trompeuses (M5.5 non livré),"CORRIGÉ à la contre-vérification technique (F08) : le compilateur génère de VRAIS EXISTS/NOT EXISTS sur lead_tag (rules-compiler.ts:407-419) — table quasi vide + drift uuid connu : has_tag cible ~0 contact, not_has_tag cible TOUTE la base, sans aucun signal UI",rules-compiler.ts:407-419; RuleEditor.tsx,"Triple défense : types grisés dans le menu (« bientôt — M5.5 »), bannière rouge sur les règles existantes, compilateur → FALSE + warning loggé (détail : technique/fonctionnalites/F08-audiences/)",C7
AUD-02,audiences,formulaire,majeure,Opérateur « entre » sans validation lo ≤ hi,[200; 50] accepté et compilé (résultat vide silencieux) — numérique et dates,RuleEditor.tsx:202-223; AudienceWizard.tsx:116-132,Validation + auto-swap + message « la borne basse doit être ≤ la haute »,C7
AUD-03,audiences,lisibilite,majeure,Drift snapshot vs live invisible,Comptage live en entête et tailles de snapshots séparés ; aucun indicateur d'ancienneté ni d'écart,audiences/[id]/page.tsx:109-114; SnapshotsPanel.tsx,« créé il y a Nj — live: 500 / snapshot: 100 (+400) » avec surlignage si écart >10 %,C7
AUD-04,audiences,lisibilite,majeure,Mode d'évaluation dynamic/static sous-documenté,Radio step 3 + badge liste sans explication des conséquences (réévaluation à l'envoi vs liste figée),AudienceWizard.tsx:337-362,Texte d'aide détaillé sous chaque radio + tooltip sur le badge,C7
AUD-05,audiences,formulaire,mineure,Bascule pays eq→in→eq perd des sélections en silence,5 pays sélectionnés puis retour à « égal » : 4 perdus sans confirmation,RuleEditor.tsx:96-109,Confirmation si la bascule perd des valeurs,C7
AUD-06,audiences,fonctionnalite,mineure,Membres de snapshot limités aux 50 premiers,limit=50&offset=0 hardcodés ; pas de pagination dans le drawer,SnapshotsPanel.tsx:105-107,« Charger plus » ou pagination (l'API la supporte déjà),C7
AUD-07,audiences,formulaire,mineure,Codes pays inconnus avertis mais enregistrables,Chip rose « ⚠ XX » mais le formulaire sauvegarde quand même (ciblera 0),CountryMultiSelect.tsx:53-96,Erreur bloquante à la validation step 2,C7
AUD-08,audiences,lisibilite,mineure,Sémantique ET/OU invisible à une seule règle,Le toggle n'apparaît qu'à 2+ règles : l'ajout d'une 2e règle change la logique sans signal,AudienceRulesBuilder.tsx:131-144,Afficher la mention « toutes les conditions (ET) » dès la 1re règle,C7
AUD-09,audiences,formulaire,mineure,Valeurs « in » saisies en CSV texte,"email_pattern in : un seul input « a@x.com, b@y.com » non trimé",RuleEditor.tsx:55-77,Input à chips (pattern CountryMultiSelect),C7
AUD-10,audiences,navigation,mineure,Lien « Modifier les critères » peu visible,Seul point d'entrée édition logé dans la carte Exclusions (colonne droite),audiences/[id]/page.tsx:163-168,Le bouton « Modifier » d'entête doit suffire — pointer vers l'étape 2 du wizard,C7
AUD-11,audiences,lisibilite,info,purgeableAfter (90 j) non affiché,Les snapshots ont une échéance de purge invisible,SnapshotsPanel.tsx,Mention « purge auto le {date} » dans la ligne snapshot,C7
AUD-12,audiences,fonctionnalite,info,Impact chiffré des exclusions absent,Les 4 flags n'indiquent pas combien de contacts ils retirent,ExclusionFlagsFieldset.tsx:22-45,Le breakdown (ciblés/exclus/envoyables) existe : le rendre visible par flag si peu coûteux,C7
AUD-13,audiences,fiabilite,mineure,Timeout preview (5 s) silencieux,Règle complexe → preview-size timeout → « Erreur: HTTP 500 » générique,preview.ts:25; AudiencePreview.tsx,Message dédié « requête trop lourde — simplifiez ou snapshotez »,C7
SUP-01,suppression,navigation,majeure,Écran orphelin de la navigation,Aucun bouton vers /admin/emails/suppression dans les quick-links du dashboard ; découvrable uniquement par URL ou deep-link cockpit,app/admin/emails/page.tsx:71-114,Ajouter l'entrée au dashboard + à la palette + à la future barre d'onglets (C2),C2
SUP-02,suppression,fonctionnalite,majeure,Pas d'ajout manuel d'adresse,Impossible de bloquer une adresse depuis cet écran (seul chemin : bulk cockpit) alors que addSuppression() existe,SuppressionList.tsx; suppression.ts:141,Bouton « Ajouter une adresse » → dialog (email + raison + détail obligatoire pour manual_admin),C8
SUP-03,suppression,fonctionnalite,majeure,Filtres raison/source non exposés,L'API supporte ?reason=&source= ; l'UI ne filtre que par substring email (placeholder mensonger « par email raison ou source »),SuppressionList.tsx:182,Dropdowns Raison + Source branchés sur les params API,C8
SUP-04,suppression,fonctionnalite,majeure,Pas de retrait en masse,Corriger un faux-positif de 200 entrées = 200 clics + 200 confirm,SuppressionList.tsx,Checkboxes + barre bulk (pattern cockpit) avec confirmation unique,C8
SUP-05,suppression,lisibilite,mineure,Champ « détail » cryptique,Souvent null ; valeurs techniques (list-unsubscribe-one-click) sans légende,SuppressionList.tsx:287,Légende/tooltip + détail obligatoire à l'ajout manuel,C8
SUP-06,suppression,fonctionnalite,mineure,Pas d'export/import CSV,Ni sauvegarde ni migration de la liste possibles depuis l'UI,SuppressionList.tsx,Export CSV (pattern cockpit) ; import en P2,C8
SUP-07,suppression,fonctionnalite,mineure,Pagination sans saut de page,Précédent/Suivant sur des listes potentiellement très longues,SuppressionList.tsx:312-335,Saut de page (mutualiser avec CKPT-12),C8
EVT-01,events,fonctionnalite,majeure,Aucune corrélation vers outbox/campagne,Pipeline user_event isolé : impossible de remonter d'un event au mail/cockpit correspondant,events/page.tsx; user-events/queries.ts,Colonnes outbox_id/campaign_id cliquables quand présentes dans les propriétés + lien cockpit,C8
EVT-02,events,lisibilite,mineure,Propriétés JSON tronquées sans expansion,max-w-md truncate : un panier de 5 articles est illisible,EventsDashboardView.tsx:197,<details> inline ou popover JSON formaté,C8
EVT-03,events,lisibilite,mineure,Stream « 100 derniers » sans fenêtre vs tableaux 24 h,Le stream peut montrer des events vieux de plusieurs jours à côté de compteurs 24 h : confusion,user-events/queries.ts (getRecentEvents),Aligner (fenêtre 24 h par défaut + toggle « tout »),C8
EVT-04,events,fonctionnalite,mineure,Pas de filtre par nom d'event ni par email,Seule la source est filtrable,EventsDashboardView.tsx,Inputs nom + email (l'API GROUP BY existe déjà),C8
EVT-05,events,design,mineure,Table non responsive,Largeurs fixes sans overflow-x-auto sur le conteneur : écrans <1200px illisibles,EventsDashboardView.tsx:164-206,overflow-x-auto + min-w,C8
LMK-01,listmonk,observabilite,majeure,Panne Listmonk invisible,Échecs de sync logués serveur uniquement ; aucun check Listmonk dans le HealthBadge ni badge d'erreur en liste campagnes,listmonk-status-sync.ts:172-177,Check « Listmonk joignable » dans le HealthBadge + badge « sync en échec » par campagne,C9
LMK-02,listmonk,lisibilite,majeure,« Dernière synchro » trompeuse,Retombe sur updatedAt : métriques périmées présentées comme fraîches,campaigns/[id]/page.tsx:161,Stocker lastSyncAttemptAt/lastSyncErrorAt sur campaign_link + badge « périmé » si >1 h,C9
LMK-03,listmonk,fiabilite,mineure,Fallback proxy cassé + bouton « nouvel onglet » cassé sans env,Sans LISTMONK_PUBLIC_URL le bouton ouvre le proxy aux chemins absolus cassés,listmonk/[[...path]]/page.tsx:24-26; ListmonkFrame.tsx:25,Désactiver le bouton + message clair quand publicOrigin absent,C9
LMK-04,listmonk,lisibilite,mineure,Listes vides indistinguables de Listmonk down,Wizard étape 2 : fetch échoué → « Aucune liste Listmonk. Crée-en une » (faux conseil),CampaignWizard.tsx:412-478,Si listmonkError et listes vides → afficher l'erreur à la place du hint de création,C9
LMK-05,listmonk,securite,mineure,Proxy strippe la CSP sans resynthèse,x-frame-options/CSP retirés ; défense en profondeur perdue (reste la CSP parente),api/listmonk/[...path]/route.ts:97-108,Synthétiser frame-ancestors 'self' à la place,C9
