id,famille,type,nom,description,couvre,implementation,statut_v1,test
C-AUDIT-03,audit,detectif,Audit immuable,Aucune route DELETE/UPDATE sur audit_events,R-tout,convention code + review,obligatoire,review
C-LOG-01,logging,preventif,Redaction PII automatique,emails phones secrets masques,T7.1,lib/logging/redact.ts,obligatoire,unit
C-LOG-02,logging,detectif,Sentry beforeSend strip PII,Filtre supplementaire avant envoi Sentry,T7.2,instrumentation.ts,obligatoire,unit
C-LOG-03,logging,detectif,Correlation X-Request-Id,Trace par requete cross-services,Diag,lib/logging/correlation.ts AsyncLocalStorage,recommande,e2e
C-RGPD-01,rgpd,procedure,Procedure droit d'effacement,Anonymisation SQL + audit,T7.4,operations/rgpd-effacement.md,obligatoire,procedure
C-RGPD-02,rgpd,procedure,Registre des traitements,Document tenu a jour,Compliance,compliance/registre-traitements.md (v1.1),recommande,procedure
C-RGPD-03,rgpd,preventif,Consentement explicite formulaire,consent_at obligatoire en DB,T2.5,schema leads NOT NULL constraint,obligatoire,unit
C-RGPD-04,rgpd,preventif,Politique de confidentialite accessible,Lien dans formulaires + pied de page,Compliance,page /confidentialite,obligatoire,e2e
C-DB-01,db,preventif,Soft-delete par defaut,deleted_at colonne sur entites user,T6.3,schema.sql + queries default filter,obligatoire,unit
C-DB-02,db,preventif,Backup PITR 7 jours Neon,Plan Pro requis,T6.3 T7.4,Neon dashboard config,obligatoire,verif config
C-DB-03,db,preventif,Drizzle parametrise pas de raw,Anti SQL injection,T2.2 T6.2,Lint regle no-raw-sql,obligatoire,lint
C-DB-04,db,detectif,Surveillance acces direct DB,Audit Neon role logs,T6.4,Neon audit log review trimestriel,recommande,procedure
C-DEPLOY-01,deploiement,preventif,Pas de secret en clair dans le code,git-secrets pre-commit,T3.5,.gitleaks.toml + hook,obligatoire,ci
C-DEPLOY-02,deploiement,preventif,Variables env via Vercel UI,Pas de .env commite,T3.5,.gitignore .env*,obligatoire,review
C-DEPLOY-03,deploiement,detectif,Dependabot + audit npm,Mise a jour deps faille,Supply chain,GitHub Dependabot active,obligatoire,ci
C-DEPLOY-04,deploiement,preventif,Lockfile commite verifie,pnpm-lock.yaml integrite,Supply chain,CI step pnpm install --frozen-lockfile,obligatoire,ci
C-INC-01,incident,correctif,Runbook incident documente,Etapes detection -> notification,T tout,07-securite/incident-response.md,obligatoire,procedure
C-INC-02,incident,correctif,Notification CNDP sous 72h,Loi 09-08 si fuite DCP,T tout,runbook section notification,obligatoire,procedure
