ticket_id,sprint,wave,type,title,assignee,points,depends_on,acceptance_criteria_summary
CHAT-047,S2,V5,feature,Cron budget-watch + service level switch,dev_lead,3,CHAT-019,Daily check + alerts
CHAT-048,S2,V5,feature,Cron gdpr-purge (daily),dev_lead,3,CHAT-003,Anonymize + delete per retention
CHAT-049,S2,V5,test,Tests unit Jest lib/chat/*,dev_intermediate,5,—,Coverage 80%+
CHAT-050,S2,V5,test,Tests integration API + DB,dev_intermediate,5,CHAT-024,All endpoints tested
CHAT-051,S2,V5,test,Tests E2E Playwright critical paths,dev_lead,5,CHAT-034,Greeting + suggestion + LLM + lead
CHAT-052,S2,V5,test,Test ULTIMATE pipeline (chaos + happy),dev_lead,8,CHAT-051,Complete spec see 12-tests
CHAT-053,S2,V5,test,MSW handlers LLM providers,dev_intermediate,3,CHAT-049,Mock all providers
CHAT-054,S2,V5,obs,Sentry alerts + tags chat.area,dev_lead,3,CHAT-018,All ChatError types tagged
CHAT-055,S2,V5,obs,Dashboards Business + Editorial,dev_lead,5,CHAT-022,Recharts/tremor implementation
CHAT-056,S2,V5,doc,Runbook deploy.md + rollback.md,dev_lead,3,—,Step-by-step
CHAT-057,S2,V5,doc,Training Yasmine + Karim admin,po_selma,3,CHAT-039,Loom video + Q&A session
CHAT-058,S3,V6,feature,A/B engine cookie variant assigner,dev_intermediate,5,—,Persistent 30j
CHAT-059,S3,V6,feature,A/B Exp1 greeting darija default,dev_intermediate,3,CHAT-058,Variants live + tracked
CHAT-060,S3,V6,feature,A/B Exp5 launcher pulse 30s,dev_intermediate,3,CHAT-058,Variants live + tracked
CHAT-061,S3,V6,feature,Canned pairs +25 trilingual,content_yasmine,5,—,Editorial autonomous via admin
CHAT-062,S3,V6,feature,FAQ entries +30 trilingual,content_yasmine,5,—,Idem
CHAT-063,S3,V6,feature,Lead form pre-fill from cookie,dev_intermediate,3,CHAT-034,Phone/email/city if known
CHAT-064,S3,V6,feature,Lead form smart timing heuristic,dev_intermediate,3,CHAT-034,Offer after N messages user
CHAT-065,S4,V6,feature,Mode anonyme RGPD toggle,dev_lead,5,—,No persist + no PII events
CHAT-066,S4,V6,feature,Dashboard care complete,dev_lead,5,CHAT-043,Hot leads + frustration alerts
CHAT-067,S4,V6,feature,Email digest hebdo,dev_intermediate,3,CHAT-055,Cron + template
CHAT-068,S4,V6,feature,Slack alerts integration,dev_intermediate,2,CHAT-067,Webhook configurés
CHAT-069,S4,V6,perf,First token < 600ms p50 tuning,dev_lead,8,—,Streaming optim + cache
CHAT-070,S4,V6,test,Test load — 100 concurrent SSE,dev_lead,5,—,No degradation
CHAT-071,S5,V7,feature,Sendit tracking API integration,dev_lead,8,—,Auth + caching
CHAT-072,S5,V7,feature,Tool get_order_status,dev_lead,5,CHAT-071,Anti-énumération rate limit
CHAT-073,S6,V7,feature,Promo engine refactor,dev_lead,8,—,Conditions structurées
CHAT-074,S6,V7,feature,Tool check_promo,dev_lead,5,CHAT-073,Idempotent + audit log
CHAT-075,S7,V7,feature,B2B LeadForm advanced fields,dev_intermediate,5,—,Type établissement + volume
CHAT-076,S7,V7,feature,B2B canned pairs +15,content_yasmine,3,—,B2B audience
CHAT-077,S8,V7,feature,Dark mode tokens + toggle,designer+dev_intermediate,5,—,All components dark
CHAT-078,S8,V7,feature,GrowthBook self-hosted migration,dev_lead,8,CHAT-058,A/B engine v2
