key,namespace,source_file,source_line,current_fr_value,context,category,priority,extraction_status,notes
marketing.home.avis.salma.context,marketing,src/data/mock/homepage.ts,56,Casablanca,testimonial city context,mock-data,P1,pending,
marketing.home.avis.salma.initiee_depuis,marketing,src/data/mock/homepage.ts,57,Janvier 2025,testimonial since label,mock-data,P2,pending,
marketing.home.avis.yasmine.quote,marketing,src/data/mock/homepage.ts,73,Le rituel rythme ma fin de journée. C’est devenu un moment pour moi.,avis yasmine quote,mock-data,P1,pending,
marketing.home.avis.yasmine.first_name,marketing,src/data/mock/homepage.ts,70,Yasmine,testimonial first name,mock-data,P1,pending,
marketing.home.avis.yasmine.context,marketing,src/data/mock/homepage.ts,71,Rabat,testimonial city,mock-data,P1,pending,
marketing.home.avis.ines.quote,marketing,src/data/mock/homepage.ts,87,"La paste donne un fini qui me ressemble. Naturel, sans vernis.",avis ines quote,mock-data,P1,pending,
marketing.home.avis.ines.first_name,marketing,src/data/mock/homepage.ts,84,Inès,testimonial first name,mock-data,P1,pending,
marketing.home.avis.ines.context,marketing,src/data/mock/homepage.ts,85,Marrakech,testimonial city,mock-data,P1,pending,
marketing.home.avis.kicker_default,marketing,src/components/sections/AvisStrip.tsx,22,Voix,avis strip section kicker,ui-static,P1,pending,default prop value
marketing.home.avis.title_default,marketing,src/components/sections/AvisStrip.tsx,23,Celles qui ont essayé.,avis strip section title,ui-static,P1,pending,default prop value
marketing.kit.metadata.title_fallback,seo,src/app/(marketing)/kit/page.tsx,32,Le pack FemiGlow — manucure japonaise,kit page title fallback,seo-meta,P0,pending,
marketing.kit.metadata.description_fallback,seo,src/app/(marketing)/kit/page.tsx,33,"Pack FemiGlow — coffret de manucure japonaise en deux gestes. Paste verte sauge, powder rose poudré et polissoir Step 4 Polish & Shine. Pensé à Rabat par notre équipe. Sans vernis, sans abrasion. Livraison offerte au Maroc.",kit page description fallback,seo-meta,P0,pending,
marketing.kit.metadata.og_alt,seo,src/app/(marketing)/kit/page.tsx,29,"Le pack FemiGlow — paste, powder, polissoir Step 4",kit og image alt,seo-meta,P1,pending,
marketing.kit.product.name,marketing,src/data/mock/product.ts,11,Pack FemiGlow,product name,mock-data,P0,pending,nom commercial - à valider founder
marketing.kit.product.tagline,marketing,src/data/mock/product.ts,14,"Manucure japonaise. Deux gestes, un polissoir, un éclat.",product tagline,mock-data,P0,pending,
marketing.kit.product.description,marketing,src/data/mock/product.ts,16,"Le pack FemiGlow réunit deux pots — une paste lissante et une powder lustrante — et un polissoir Step 4 Polish & Shine. Une manucure japonaise, formulée à Rabat par notre équipe. Sans vernis. Sans abrasion. Cinq minutes par jour suffisent.",product description,mock-data,P0,pending,
marketing.kit.product.image_alt_primary,marketing,src/data/mock/product.ts,23,"Pack FemiGlow ouvert sur fond pastel — pot paste vert sauge, pot powder rose poudré, polissoir Step 4 bleu ciel, vague rose poudré, typographie FemiGlow",product image alt primary,mock-data,P2,pending,
marketing.kit.product.image_alt_secondary,marketing,src/data/mock/product.ts,30,"Mains aux ongles nus, courts à moyens, naturellement brillants après le rituel paste-powder-polish",product image alt secondary,mock-data,P2,pending,
marketing.kit.product.shipping_estimate,marketing,src/data/mock/product.ts,55,Rabat : 24 h. Maroc : 48 à 72 h. Livraison offerte.,product shipping estimate,mock-data,P0,pending,
marketing.kit.composition.paste.name,marketing,src/data/mock/kit.ts,19,1 Paste,composition paste subproduct name,mock-data,P0,pending,
marketing.kit.composition.paste.sensation,marketing,src/data/mock/kit.ts,20,Tiède au contact.,paste sensation line,mock-data,P1,pending,
marketing.kit.composition.paste.short_description,marketing,src/data/mock/kit.ts,22,"Pâte crème onctueuse. Filme la plaque sans l’étouffer. Une noisette suffit.",paste short description,mock-data,P0,pending,
marketing.kit.composition.paste.volume,marketing,src/data/mock/kit.ts,24,15 g,paste volume,mock-data,P1,pending,
marketing.kit.composition.paste.usage_hint,marketing,src/data/mock/kit.ts,25,une noisette filme dix doigts,paste usage hint,mock-data,P1,pending,
marketing.kit.composition.paste.narrative,marketing,src/data/mock/kit.ts,27,"12 % de cire d’abeille fondue à basse température par la coopérative apicole du Moyen Atlas. Trois minutes de pose, le fini est mat.",paste narrative,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.cire.name,marketing,src/data/mock/kit.ts,36,Cire d’abeille,ingredient name,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.cire.function,marketing,src/data/mock/kit.ts,38,Filmogène naturel,ingredient function,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.cire.origin,marketing,src/data/mock/kit.ts,39,"Coopérative apicole, Atlas marocain",ingredient origin,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.cire.inci_definition,marketing,src/data/mock/kit.ts,42,"Nom officiel de la cire d’abeille pure. Filme l’ongle sans le sceller, laisse respirer la plaque.",ingredient inci definition,mock-data,P2,pending,
marketing.kit.composition.paste.ingredient.jojoba.name,marketing,src/data/mock/kit.ts,46,Huile de jojoba,ingredient jojoba name,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.jojoba.function,marketing,src/data/mock/kit.ts,48,Hémisphage des cuticules,ingredient jojoba function,mock-data,P1,pending,attention typo Hémisphage - à vérifier
marketing.kit.composition.paste.ingredient.jojoba.origin,marketing,src/data/mock/kit.ts,49,"Cultures biologiques, Souss-Massa",ingredient jojoba origin,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.jojoba.inci_definition,marketing,src/data/mock/kit.ts,52,"Cire végétale liquide, proche du sébum naturel. Assouplit les cuticules sans graisser.",ingredient inci def,mock-data,P2,pending,
marketing.kit.composition.paste.ingredient.tocopherol.name,marketing,src/data/mock/kit.ts,55,Tocophérol,ingredient tocopherol,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.tocopherol.function,marketing,src/data/mock/kit.ts,57,Antioxydant,ingredient function,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.tocopherol.origin,marketing,src/data/mock/kit.ts,58,"Origine végétale, Europe",ingredient origin,mock-data,P1,pending,
marketing.kit.composition.paste.ingredient.tocopherol.inci_definition,marketing,src/data/mock/kit.ts,61,"Vitamine E d’origine végétale. Préserve les huiles de la formule du rancissement.",inci definition,mock-data,P2,pending,
marketing.kit.composition.paste.certification.cosmos,marketing,src/data/mock/kit.ts,64,Cosmos Organic,certification label,mock-data,P1,pending,
marketing.kit.composition.paste.certification.cosmos.body,marketing,src/data/mock/kit.ts,64,Ecocert,certification authority,mock-data,P2,pending,nom de l'organisme - non-traduit
marketing.kit.composition.paste.certification.vegan,marketing,src/data/mock/kit.ts,65,Vegan,certification label,mock-data,P1,pending,
marketing.kit.composition.paste.certification.vegan.body,marketing,src/data/mock/kit.ts,65,EVE Vegan,certification authority,mock-data,P2,pending,
marketing.kit.composition.powder.name,marketing,src/data/mock/kit.ts,70,2 Powder,powder subproduct name,mock-data,P0,pending,
marketing.kit.composition.powder.sensation,marketing,src/data/mock/kit.ts,71,"Glisse, ne grise pas.",powder sensation,mock-data,P1,pending,
marketing.kit.composition.powder.short_description,marketing,src/data/mock/kit.ts,73,"Poudre fine blanche, déposée sur la paste. Absorbe l’excès, lustre la surface.",powder short description,mock-data,P0,pending,
marketing.kit.composition.powder.volume,marketing,src/data/mock/kit.ts,75,8 g,powder volume,mock-data,P1,pending,
marketing.kit.composition.powder.usage_hint,marketing,src/data/mock/kit.ts,76,une pincée lustre toute la main,powder usage hint,mock-data,P1,pending,
marketing.kit.composition.powder.narrative,marketing,src/data/mock/kit.ts,78,"Poudre minérale fine, déposée juste après la paste. Le talc absorbe le surplus, la silice lustre la surface. Pas de blanc, pas de gris.",powder narrative,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.talc.name,marketing,src/data/mock/kit.ts,87,Talc cosmétique,ingredient talc,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.talc.function,marketing,src/data/mock/kit.ts,89,Matifiant minéral,ingredient function,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.talc.inci_definition,marketing,src/data/mock/kit.ts,93,"Silicate de magnésium pur, lavé et tamisé. Matifie sans gercer la plaque.",inci def,mock-data,P2,pending,
marketing.kit.composition.powder.ingredient.riz.name,marketing,src/data/mock/kit.ts,97,Poudre de riz,ingredient riz,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.riz.function,marketing,src/data/mock/kit.ts,99,Absorbant doux,ingredient function,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.riz.origin,marketing,src/data/mock/kit.ts,100,Asie biologique,ingredient origin,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.riz.inci_definition,marketing,src/data/mock/kit.ts,103,Amidon de riz finement broyé. Absorbe le surplus de paste sans dessécher.,inci def,mock-data,P2,pending,
marketing.kit.composition.powder.ingredient.silice.name,marketing,src/data/mock/kit.ts,107,Silice,ingredient silice,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.silice.function,marketing,src/data/mock/kit.ts,109,Texture & glissant,ingredient function,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.silice.origin,marketing,src/data/mock/kit.ts,110,"Origine minérale, Europe",ingredient origin,mock-data,P1,pending,
marketing.kit.composition.powder.ingredient.silice.inci_definition,marketing,src/data/mock/kit.ts,113,"Forme cosmétique du silicate. Donne la glisse et révèle la brillance au polissage.",inci def,mock-data,P2,pending,
marketing.kit.composition.polissoir.name,marketing,src/data/mock/kit.ts,121,Polissoir Step 4 — Polish & Shine,polissoir subproduct name,mock-data,P0,pending,
marketing.kit.composition.polissoir.short_description,marketing,src/data/mock/kit.ts,122,"Polissoir rectangulaire bleu ciel. Trois faces, trois grains. Révèle la brillance naturelle.",polissoir short desc,mock-data,P0,pending,
marketing.kit.composition.polissoir.volume,marketing,src/data/mock/kit.ts,124,90 mm,polissoir dim,mock-data,P1,pending,
marketing.kit.composition.polissoir.sensation,marketing,src/data/mock/kit.ts,125,La lumière revient à la surface.,polissoir sensation,mock-data,P1,pending,
marketing.kit.composition.polissoir.usage_hint,marketing,src/data/mock/kit.ts,127,six mois de polissage doux,polissoir usage hint,mock-data,P1,pending,
marketing.kit.composition.polissoir.narrative,marketing,src/data/mock/kit.ts,129,"Polissoir trois faces, du plus rugueux au plus doux. La dernière face révèle la brillance, sans solvant ni vernis. Se rince à l’eau tiède.",polissoir narrative,mock-data,P1,pending,
marketing.kit.composition.polissoir.ingredient.mousse.name,marketing,src/data/mock/kit.ts,138,Mousse polyuréthane haute densité,ingredient name,mock-data,P1,pending,
marketing.kit.composition.polissoir.ingredient.kaolin.name,marketing,src/data/mock/kit.ts,146,Poudre de kaolin polissant,ingredient kaolin,mock-data,P1,pending,
marketing.kit.composition.polissoir.ingredient.kaolin.function,marketing,src/data/mock/kit.ts,148,Argile douce,ingredient function,mock-data,P1,pending,
marketing.kit.composition.polissoir.ingredient.kaolin.origin,marketing,src/data/mock/kit.ts,149,"Carrière, Marrakech",ingredient origin,mock-data,P1,pending,
marketing.kit.comparatif.title_vernis,marketing,src/data/mock/kit.ts,179,Vernis classique,comparatif column header,mock-data,P1,pending,
marketing.kit.comparatif.title_rituel,marketing,src/data/mock/kit.ts,180,Pack FemiGlow,comparatif column header,mock-data,P1,pending,
marketing.kit.comparatif.row.preparation.axis,marketing,src/data/mock/kit.ts,184,Préparation,comparatif axis,mock-data,P1,pending,
marketing.kit.comparatif.row.preparation.vernis,marketing,src/data/mock/kit.ts,185,"Dégraissage à l’acétone, surface lisse forcée.",comparatif vernis cell,mock-data,P1,pending,
marketing.kit.comparatif.row.preparation.rituel,marketing,src/data/mock/kit.ts,186,"Nettoyage doux, observation de la plaque, sans solvant agressif.",comparatif rituel cell,mock-data,P1,pending,
marketing.kit.comparatif.row.tenue.axis,marketing,src/data/mock/kit.ts,189,Tenue,comparatif axis,mock-data,P1,pending,
marketing.kit.comparatif.row.tenue.vernis,marketing,src/data/mock/kit.ts,190,"5 à 7 jours sur ongle préparé, retouches fréquentes.",comparatif tenue vernis,mock-data,P1,pending,
marketing.kit.comparatif.row.tenue.rituel,marketing,src/data/mock/kit.ts,191,"Pas de tenue colorée : l’ongle reste tel qu’il est, soutenu jour après jour.",comparatif tenue rituel,mock-data,P1,pending,
marketing.kit.comparatif.row.recuperation.axis,marketing,src/data/mock/kit.ts,193,Récupération,comparatif axis,mock-data,P1,pending,
marketing.kit.comparatif.row.recuperation.vernis,marketing,src/data/mock/kit.ts,194,"Ongle déshydraté sous la couche, parfois fragilisé.",comparatif recup vernis,mock-data,P1,pending,
marketing.kit.comparatif.row.recuperation.rituel,marketing,src/data/mock/kit.ts,195,"Plaque hydratée, cuticules souples, polissage au kaolin Step 4.",comparatif recup rituel,mock-data,P1,pending,
marketing.kit.comparatif.row.cout.axis,marketing,src/data/mock/kit.ts,198,Coût annuel,comparatif axis cost,mock-data,P1,pending,
marketing.kit.comparatif.row.cout.vernis,marketing,src/data/mock/kit.ts,199,"Vernis + dissolvant + cures réparatrices, env. 1 500 dh.",comparatif cout vernis,mock-data,P1,pending,
marketing.kit.comparatif.row.cout.rituel,marketing,src/data/mock/kit.ts,200,Un pack FemiGlow à 199 dh tient quatre à cinq mois. Soit environ 500 dh par an.,comparatif cout rituel,mock-data,P1,pending,
marketing.kit.comparatif.row.impact.axis,marketing,src/data/mock/kit.ts,203,Impact matière,comparatif axis impact,mock-data,P1,pending,
marketing.kit.comparatif.row.impact.vernis,marketing,src/data/mock/kit.ts,204,"Solvants volatils, formules à base pétrochimique fréquente.",comparatif impact vernis,mock-data,P1,pending,
marketing.kit.comparatif.row.impact.rituel,marketing,src/data/mock/kit.ts,205,"Cire d’abeille, jojoba, talc minéral, riz, kaolin. Certification Cosmos Organic.",comparatif impact rituel,mock-data,P1,pending,
marketing.kit.comparatif.row.temps.axis,marketing,src/data/mock/kit.ts,209,Temps quotidien,comparatif axis temps,mock-data,P1,pending,
marketing.kit.comparatif.row.temps.vernis,marketing,src/data/mock/kit.ts,210,"Application 20 min, séchage long, retouches.",comparatif temps vernis,mock-data,P1,pending,
marketing.kit.comparatif.row.temps.rituel,marketing,src/data/mock/kit.ts,211,"Cinq minutes par jour, geste lent, sans séchage forcé.",comparatif temps rituel,mock-data,P1,pending,
marketing.kit.faq.duree_pack.question,marketing,src/data/mock/kit.ts,218,Combien de temps dure un pack ?,faq question,mock-data,P1,pending,
marketing.kit.faq.duree_pack.answer,marketing,src/data/mock/kit.ts,220,"En usage quotidien, le pack tient quatre à cinq mois. La paste se vide en premier, la powder suit. Le polissoir dure environ un an. Nous proposons des recharges à partir de l’automne 2026.",faq answer duree,mock-data,P1,pending,
marketing.kit.faq.frequence.question,marketing,src/data/mock/kit.ts,224,À quelle fréquence appliquer ?,faq question,mock-data,P1,pending,
marketing.kit.faq.frequence.answer,marketing,src/data/mock/kit.ts,226,"Tous les soirs si vous le pouvez, en cinq minutes. Si vous sautez un jour, ce n’est pas grave : la maison accueille la pause comme elle accueille le retour.",faq answer frequence,mock-data,P1,pending,
marketing.kit.faq.compatibilite_vernis.question,marketing,src/data/mock/kit.ts,230,Puis-je continuer à porter du vernis ?,faq question compat,mock-data,P1,pending,
marketing.kit.faq.compatibilite_vernis.answer,marketing,src/data/mock/kit.ts,232,"Le rituel s’accommode du vernis même s’il est pensé pour s’en passer. Appliquez la paste et la powder les soirs sans vernis. La plaque respire, le rituel installe sa lenteur.",faq answer compat,mock-data,P1,pending,
marketing.kit.faq.grossesse.question,marketing,src/data/mock/kit.ts,236,Le rituel convient-il pendant la grossesse ?,faq question grossesse,mock-data,P1,pending,
marketing.kit.faq.grossesse.answer,marketing,src/data/mock/kit.ts,238,"Toutes les formules sont sans solvants volatils, sans phtalates, sans toluene. Nous recommandons d’échanger avec votre médecin : le soin se construit en confiance.",faq answer grossesse,mock-data,P1,pending,
marketing.kit.faq.expedition.question,marketing,src/data/mock/kit.ts,242,Quels sont les délais de livraison ?,faq question expedition,mock-data,P1,pending,
marketing.kit.faq.expedition.answer,marketing,src/data/mock/kit.ts,244,"Rabat : 24 h. Reste du Maroc : 48 à 72 h. Livraison offerte. International : nous étudions chaque destination, l’envoi se fait par DHL avec suivi.",faq answer expedition,mock-data,P1,pending,
marketing.kit.faq.retours.question,marketing,src/data/mock/kit.ts,248,Puis-je retourner le pack ?,faq question retours,mock-data,P1,pending,
