component_slug,field_key,locale,value,status,notes
commerce-merci,preparation__body_2,fr,"La maison ne propose pas une routine. Elle propose un moment suspendu, qui appartient à vos mains.",draft,
commerce-merci,preparation__kicker,fr,Préparation au geste,draft,
commerce-merci,preparation__title,fr,Choisissez un soir calme.,draft,
commerce-merci,timeline__expedition,fr,Expédition,draft,
commerce-merci,timeline__expedition_hint,fr,1 à 2 jours ouvrés après la préparation.,draft,
commerce-merci,timeline__kicker,fr,Suivi de votre pack,draft,
commerce-merci,timeline__livraison,fr,Livraison,draft,
commerce-merci,timeline__livraison_hint,fr,Rabat 24 h · Maroc 48 à 72 h.,draft,
commerce-merci,timeline__preparation,fr,Préparation,draft,
commerce-merci,timeline__preparation_hint,fr,"Sous 24 h, à la main, à Rabat.",draft,
commerce-merci,timeline__title,fr,"Trois étapes, à votre rythme.",draft,
commerce-minicart,close_aria,fr,Fermer le panier,draft,
commerce-minicart,continue,fr,Continuer le rituel,draft,
commerce-minicart,cta_revoir,fr,Revoir le panier,draft,
commerce-minicart,empty,fr,Votre rituel est encore à composer.,draft,
commerce-minicart,heading,fr,Votre rituel,draft,
commerce-minicart,quantity_label,fr,Quantité {qty},draft,icu
commerce-minicart,toast,fr,Ajouté à votre rituel.,draft,
commerce-panier,metadata__description,fr,"Le récapitulatif de votre rituel, avant la commande.",draft,
commerce-panier,metadata__title,fr,Le panier,draft,
commerce-sticky-cta,aria,fr,Achat rapide,draft,
commerce-trust-signals,kicker,fr,Réassurance,draft,
commerce-trust-signals,livraison__body,fr,Rabat : 24 heures. Reste du Maroc : 48 à 72 heures. Sans seuil ni surcoût.,draft,
commerce-trust-signals,livraison__title,fr,Livraison offerte,draft,
commerce-trust-signals,paiement__body,fr,"Vous ne payez qu’à la réception, après avoir vérifié votre commande. Aucun risque.",draft,
commerce-trust-signals,paiement__title,fr,Paiement à la livraison,draft,
commerce-trust-signals,retour__body,fr,"Si le rituel ne vous va pas, nous reprenons — même entamé. Aucune justification à fournir.",draft,
commerce-trust-signals,retour__title,fr,Retour 30 jours,draft,
commerce-trust-signals,title,fr,Trois engagements simples.,draft,
contact-crosslinks,kit,fr,Voir le pack,draft,
contact-crosslinks,maison,fr,La maison,draft,
contact-crosslinks,rituel,fr,Lire le rituel,draft,
contact-direct,appointment_only,fr,Sur rendez-vous.,draft,
contact-direct,kicker_atelier,fr,Atelier,draft,
contact-direct,kicker_write,fr,Écrire,draft,
contact-direct,response_time,fr,"Réponse sous 24 heures ouvrées, depuis Rabat.",draft,
contact-faq,duree__answer,fr,"Cinq minutes par soir, mains posées. Deux gestes — paste, powder — puis le polissoir Step 4 en finition. La maison conseille un passage par jour pour installer la cadence.",draft,
contact-faq,duree__question,fr,Combien de temps dure le rituel ?,draft,
contact-faq,echantillon__answer,fr,"En cas d’hésitation pour cause d’allergie, nous adressons un échantillon de la paste avant l’envoi du pack complet. Écrivez-nous en précisant l’ingrédient qui vous inquiète.",draft,
contact-faq,echantillon__question,fr,Puis-je recevoir un échantillon avant achat ?,draft,
contact-faq,formation__answer,fr,"Notre fondatrice anime des formations à la manucure japonaise et à la fabrication cosmétique dans l’atelier de Rabat. Écrivez à info@femiglow-maroc.com en précisant votre profil (esthéticienne, formulatrice, école). Nous répondons sous trois jours.",draft,
contact-faq,formation__question,fr,Comment suivre une formation avec notre équipe ?,draft,
contact-faq,fragiles__answer,fr,"Oui. Les matières sont choisies pour réparer sans agresser : cire d’abeille, jojoba, talc cosmétique, poudre de riz, kaolin polissant. Aucun acétone, aucun durcisseur. Évitez seulement en cas d’allergie connue à l’un des ingrédients ; la liste complète figure sur la page Pack.",draft,
contact-faq,fragiles__question,fr,"Mes ongles sont fragiles, est-ce indiqué ?",draft,
contact-faq,kicker,fr,Foire aux questions,draft,
contact-faq,livraison__answer,fr,"Rabat : 24 heures. Casablanca et Salé : 24 à 48 heures. Reste du Maroc : 48 à 72 heures. Livraison offerte au Maroc, sans seuil. À l’international, écrivez-nous, nous étudions chaque envoi à la main.",draft,
contact-faq,livraison__question,fr,Quels sont les délais de livraison ?,draft,
contact-faq,title,fr,Réponses rapides.,draft,
contact-form,error__body,fr,L’envoi n’a pas abouti. Réessayez ou écrivez-nous à {email}.,draft,icu
contact-form,field__company,fr,Raison sociale,draft,
contact-form,field__email,fr,Votre email,draft,
contact-form,field__message,fr,Votre message,draft,
contact-form,field__message_hint,fr,"Au moins 20 caractères, pour que nous puissions répondre justement.",draft,
contact-form,field__name,fr,Votre prénom,draft,
contact-form,field__order_number,fr,Numéro de commande,draft,
contact-form,field__order_number_hint,fr,Le numéro figure dans votre email de confirmation.,draft,
contact-form,field__phone,fr,Téléphone,draft,
contact-form,field__role,fr,Votre fonction,draft,
contact-form,honeypot_label,fr,Site web (ne pas remplir),draft,
contact-form,newsletter_consent,fr,Je souhaite recevoir la lettre saisonnière. Une lettre par saison. Aucun envoi commercial.,draft,
contact-form,section_title,fr,Écrire à la maison.,draft,
contact-form,submit,fr,Envoyer mon message,draft,
contact-form,success__body,fr,Nous lisons chaque message avec attention. Réponse sous 24 heures ouvrées.,draft,
contact-form,success__title,fr,Bien reçu. La maison vous répond.,draft,
contact-form,type__legend,fr,Quel type de message ?,draft,
contact-form,type__order,fr,Une commande,draft,
contact-form,type__professional,fr,Un échange professionnel,draft,
contact-form,type__question,fr,Une question,draft,
contact-hero,kicker,fr,Écrire à la maison,draft,
contact-hero,subtitle,fr,"Une question sur le rituel, le kit, une commande, un échange professionnel ?",draft,
contact-hero,title,fr,Contact.,draft,
contact-metadata,description,fr,"Une question sur le rituel, le pack, une commande, une formation ? Écrivez à la maison FemiGlow depuis Rabat (25 bis avenue Patrice Lumumba).",draft,
contact-metadata,og_description,fr,La maison vous répond sous 24 heures ouvrées.,draft,
contact-metadata,title,fr,Contact — la maison vous écrit,draft,
home-avis,ines__context,fr,Marrakech,draft,
home-avis,ines__first_name,fr,Inès,draft,
home-avis,ines__quote,fr,"La paste donne un fini qui me ressemble. Naturel, sans vernis.",draft,
home-avis,kicker_default,fr,Voix,draft,
home-avis,salma__context,fr,Casablanca,draft,
home-avis,salma__first_name,fr,Salma,draft,
home-avis,salma__initiee_depuis,fr,Janvier 2025,draft,
home-avis,salma__quote,fr,Trois mois sans casse. Cinq minutes par soir suffisent.,draft,
home-avis,title_default,fr,Celles qui ont essayé.,draft,
home-avis,yasmine__context,fr,Rabat,draft,
home-avis,yasmine__first_name,fr,Yasmine,draft,
home-avis,yasmine__quote,fr,Le rituel rythme ma fin de journée. C’est devenu un moment pour moi.,draft,
home-gestes,kicker,fr,Le rituel,draft,
home-gestes,paste_description,fr,"Pâte crème onctueuse, posée sur ongle sec. Filme, lisse, prépare.",draft,
home-gestes,paste_duree,fr,2 minutes,draft,
home-gestes,paste_titre,fr,Paste,draft,
home-gestes,polish_description,fr,Polissoir Step 4 passé en mouvements lents. La brillance naturelle apparaît.,draft,
home-gestes,polish_duree,fr,1 minute,draft,
home-gestes,polish_titre,fr,Polish & Shine,draft,
home-gestes,powder_description,fr,"Poudre fine blanche, déposée sur la paste. Absorbe, lustre, réveille.",draft,
home-gestes,powder_duree,fr,2 minutes,draft,
home-gestes,powder_titre,fr,Powder,draft,
home-gestes,title,fr,"Cinq gestes, cinq minutes.",draft,drift: Cinq gestes (5) — voir review-notes 1.2
home-hero,cta_primary,fr,Découvrir le rituel,draft,
home-hero,cta_secondary,fr,Recevoir le pack,draft,
home-hero,image_alt,fr,"Coffret pastel FemiGlow ouvert, pot paste sauge et pot powder rose poudré, polissoir bleu ciel, lumière naturelle de fin de matinée",draft,
home-hero,kicker,fr,Maison de Rabat,draft,
home-hero,subtitle,fr,"Manucure japonaise halal, pensée à Rabat. Sans vernis, sans abrasion.",draft,
home-hero,title,fr,"Le pack FemiGlow. Deux gestes, un éclat révélé.",draft,
home-manifeste,kicker,fr,Manifeste,draft,
home-manifeste,statement_1,fr,"Nous croyons que les ongles révèlent ce qu’on leur prête. Le geste, le temps, la patience.",draft,
home-manifeste,statement_2,fr,Cinq minutes par jour. Deux gestes et un polissoir. Aucune démonstration.,draft,
home-manifeste,title,fr,La beauté lente est une attention.,draft,
home-metadata,description,fr,"Pack FemiGlow — manucure japonaise halal. Deux gestes, un polissoir, cinq minutes par soir. Édité à Rabat.",draft,
home-metadata,fallback_og_alt,fr,FemiGlow,draft,
home-metadata,og_description,fr,"Manucure japonaise halal. Deux gestes, un polissoir, cinq minutes par soir.",draft,
home-metadata,og_title,fr,FemiGlow — Maison de soin pour les ongles,draft,
home-metadata,title,fr,Maison de soin pour les ongles — à Rabat,draft,
journal-article,author__bio,fr,"Fondatrice de la maison FemiGlow. Biologiste et formulatrice, elle écrit depuis Rabat sur le saint lent et les matières du Maghreb.",draft,
journal-article,author__equipe,fr,L’équipe FemiGlow,draft,
journal-article,body__hiver,fr,Quand l’air sec descend sur Rabat en janvier...,draft,
journal-article,excerpt__argan_vraie,fr,"Tiznit, coopératives, première pression. Pourquoi nous achetons direct, et combien ça coûte vraiment.",draft,
journal-article,excerpt__avril_soleil,fr,"Le soleil casablancais reprend sa hauteur. Les mains se découvrent, le rituel s’allège.",draft,
journal-article,excerpt__cuisine_laboratoire,fr,"Avant l’atelier, il y a eu la cuisine. Récit d’un commencement domestique.",draft,
journal-article,excerpt__hiver,fr,"Le froid sec de Rabat dessèche tout ce qui résiste. Les ongles plient, mais ne cassent pas — à condition de ralentir.",draft,
journal-article,excerpt__kaolin,fr,"Argile blanche, douce, neutre. Comment elle entre dans la base et pourquoi elle y reste.",draft,
journal-article,excerpt__maison_printemps,fr,L’atelier de Rabat change de souffle quand l’orange fleurit. Visite d’un mois où la lumière revient.,draft,
journal-article,excerpt__matieres_ailleurs,fr,"Le sourcing parle d’honnêteté. Voici ce qui compose vraiment notre soin, et d’où viennent les matières.",draft,
journal-article,excerpt__paste_powder,fr,"Deux gestes, un éclat. Tutorial sensoriel détaillé — paste, powder, polissoir Step 4.",draft,
journal-article,excerpt__pluie_mars,fr,"L’humidité revient sur la côte. Les cuticules respirent, les gestes peuvent s’espacer.",draft,
journal-article,excerpt__ranger_rituel,fr,"Le placard, le tiroir, la trousse. Comment garder les flacons en bon état d’une saison à l’autre.",draft,
journal-article,excerpt__table_atelier,fr,"Préparer son espace avant de commencer. La nappe, la lumière, le verre d’eau.",draft,
journal-article,excerpt__visiter_atelier,fr,"25 bis avenue Patrice Lumumba, Rabat. Comment on est arrivés ici, et ce qu’on y fabrique.",draft,
journal-article,excerpt__voix_amal,fr,"Trois mois de rituel, racontés par celle qui les a tenus. Sans promesse, sans avant-après caricatural.",draft,
journal-article,excerpt__voix_lina,fr,"Deux mois après, elle nous écrit. Ce qui a changé, ce qui n’a pas changé, et ce qu’elle attend de la suite.",draft,
journal-article,excerpt__voix_sara,fr,"Quatre mois pleins. Sara raconte ses ongles, sa fatigue, ses doutes, et le geste qui s’est installé.",draft,
journal-article,kicker__hiver,fr,Saison,draft,
journal-article,title__argan_vraie,fr,"L’huile d’argan, vraie",draft,
journal-article,title__avril_soleil,fr,"Avril, soleil bas",draft,
journal-article,title__cuisine_laboratoire,fr,La cuisine comme laboratoire,draft,
journal-article,title__hiver,fr,"Hiver, ongles, patience",draft,
journal-article,title__kaolin,fr,La poudre de kaolin,draft,
journal-article,title__maison_printemps,fr,"La maison, au printemps",draft,
journal-article,title__matieres_ailleurs,fr,Matières d’ailleurs,draft,
journal-article,title__paste_powder,fr,Paste et powder — deux gestes,draft,
journal-article,title__pluie_mars,fr,Pluie de mars,draft,
journal-article,title__ranger_rituel,fr,Ranger son rituel,draft,
journal-article,title__table_atelier,fr,La table comme atelier,draft,
journal-article,title__visiter_atelier,fr,Visiter l’atelier,draft,
journal-article,title__voix_amal,fr,La voix d’Amal,draft,
journal-article,title__voix_lina,fr,La voix de Lina,draft,
journal-article,title__voix_sara,fr,La voix de Sara,draft,
journal-breadcrumb,home,fr,Accueil,draft,
journal-breadcrumb,journal,fr,Journal,draft,
journal-categories,all,fr,Toutes,draft,
journal-categories,aria,fr,Filtrer le journal par catégorie,draft,
journal-categories,maison,fr,Maison,draft,
journal-categories,matieres,fr,Matières,draft,
journal-categories,pratique,fr,Pratique,draft,
journal-categories,saison,fr,Saison,draft,
journal-categories,voix,fr,Voix,draft,
journal-cross,maison__cta,fr,Visiter la maison,draft,
journal-cross,maison__description,fr,"Visiter l’adresse au 25 bis avenue Patrice Lumumba, comprendre comment se fabrique le rituel, rencontrer les voix qui l’écrivent.",draft,
journal-cross,maison__image_alt,fr,Vue intérieure de l’atelier FemiGlow à Rabat,draft,
journal-cross,maison__kicker,fr,La maison,draft,
journal-cross,maison__title,fr,L’atelier de Rabat.,draft,
journal-grid,cta,fr,Lire le journal,draft,
journal-grid,kicker,fr,Le journal,draft,
journal-grid,title,fr,Lettres saisonnières.,draft,
journal-hero,description,fr,"Une lettre par mois. Sur le rituel, les matières marocaines, l’inspiration japonaise. Écrit à Rabat. Lent comme le geste.",draft,
journal-hero,title,fr,Le carnet de la maison.,draft,
journal-metadata,description_default,fr,"Le carnet de la maison FemiGlow — récits saisonniers, matières et voix d’initiées, écrits à Rabat et publiés au rythme des saisons.",draft,
journal-metadata,description_filtered,fr,"Journal FemiGlow — articles de la catégorie {category}, écrits à Rabat.",draft,icu
journal-metadata,title_base,fr,Le carnet de la maison{suffix},draft,icu
kit-commander,kicker_default,fr,Commander le rituel,draft,
kit-commander,subtitle_default,fr,"Quelques coordonnées, une adresse au Maroc, et nous nous occupons du reste. Livraison gratuite en 24-48 heures.",draft,
kit-commander,title_default,fr,"Trois gestes, livrés chez vous.",draft,
kit-comparatif,description,fr,"Sans dénigrer, deux approches différentes. À chacune sa place dans une vie, à chacune ses contraintes. Lisez à voix haute : chaque ligne se tient.",draft,
kit-comparatif,kicker,fr,Comparatif,draft,
kit-comparatif,row__cout__axis,fr,Coût annuel,draft,
kit-comparatif,row__cout__rituel,fr,Un pack FemiGlow à 199 dh tient quatre à cinq mois. Soit environ 500 dh par an.,draft,
kit-comparatif,row__cout__vernis,fr,"Vernis + dissolvant + cures réparatrices, env. 1 500 dh.",draft,
kit-comparatif,row__impact__axis,fr,Impact matière,draft,
kit-comparatif,row__impact__rituel,fr,"Cire d’abeille, jojoba, talc minéral, riz, kaolin. Certification Cosmos Organic.",draft,
kit-comparatif,row__impact__vernis,fr,"Solvants volatils, formules à base pétrochimique fréquente.",draft,
kit-comparatif,row__preparation__axis,fr,Préparation,draft,
kit-comparatif,row__preparation__rituel,fr,"Nettoyage doux, observation de la plaque, sans solvant agressif.",draft,
kit-comparatif,row__preparation__vernis,fr,"Dégraissage à l’acétone, surface lisse forcée.",draft,
kit-comparatif,row__recuperation__axis,fr,Récupération,draft,
kit-comparatif,row__recuperation__rituel,fr,"Plaque hydratée, cuticules souples, polissage au kaolin Step 4.",draft,
kit-comparatif,row__recuperation__vernis,fr,"Ongle déshydraté sous la couche, parfois fragilisé.",draft,
kit-comparatif,row__temps__axis,fr,Temps quotidien,draft,
kit-comparatif,row__temps__rituel,fr,"Cinq minutes par jour, geste lent, sans séchage forcé.",draft,
kit-comparatif,row__temps__vernis,fr,"Application 20 min, séchage long, retouches.",draft,
kit-comparatif,row__tenue__axis,fr,Tenue,draft,
kit-comparatif,row__tenue__rituel,fr,"Pas de tenue colorée : l’ongle reste tel qu’il est, soutenu jour après jour.",draft,
kit-comparatif,row__tenue__vernis,fr,"5 à 7 jours sur ongle préparé, retouches fréquentes.",draft,
kit-comparatif,title,fr,Vernis classique et rituel FemiGlow.,draft,
kit-comparatif,title_rituel,fr,Pack FemiGlow,draft,
kit-comparatif,title_vernis,fr,Vernis classique,draft,
kit-composition,paste__certification__cosmos_body,fr,Ecocert,draft,
kit-composition,paste__certification__cosmos_label,fr,Cosmos Organic,draft,
kit-composition,paste__certification__vegan_body,fr,EVE Vegan,draft,
kit-composition,paste__certification__vegan_label,fr,Vegan,draft,
kit-composition,paste__ingredient__cire__function,fr,Filmogène naturel,draft,
kit-composition,paste__ingredient__cire__inci_definition,fr,"Nom officiel de la cire d’abeille pure. Filme l’ongle sans le sceller, laisse respirer la plaque.",draft,
kit-composition,paste__ingredient__cire__name,fr,Cire d’abeille,draft,
kit-composition,paste__ingredient__cire__origin,fr,"Coopérative apicole, Atlas marocain",draft,
kit-composition,paste__ingredient__jojoba__function,fr,Hémisphage des cuticules,draft,typo: Hémisphage — voir review-notes 1.6
kit-composition,paste__ingredient__jojoba__inci_definition,fr,"Cire végétale liquide, proche du sébum naturel. Assouplit les cuticules sans graisser.",draft,
kit-composition,paste__ingredient__jojoba__name,fr,Huile de jojoba,draft,
kit-composition,paste__ingredient__jojoba__origin,fr,"Cultures biologiques, Souss-Massa",draft,
kit-composition,paste__ingredient__tocopherol__function,fr,Antioxydant,draft,
kit-composition,paste__ingredient__tocopherol__inci_definition,fr,Vitamine E d’origine végétale. Préserve les huiles de la formule du rancissement.,draft,
kit-composition,paste__ingredient__tocopherol__name,fr,Tocophérol,draft,
kit-composition,paste__ingredient__tocopherol__origin,fr,"Origine végétale, Europe",draft,
kit-composition,paste__name,fr,1 Paste,draft,
kit-composition,paste__narrative,fr,"12 % de cire d’abeille fondue à basse température par la coopérative apicole du Moyen Atlas. Trois minutes de pose, le fini est mat.",draft,
kit-composition,paste__sensation,fr,Tiède au contact.,draft,
kit-composition,paste__short_description,fr,Pâte crème onctueuse. Filme la plaque sans l’étouffer. Une noisette suffit.,draft,
kit-composition,paste__usage_hint,fr,une noisette filme dix doigts,draft,
kit-composition,paste__volume,fr,15 g,draft,drift: volume 15g vs 30ml — voir review-notes 1.5
kit-composition,polissoir__ingredient__kaolin__function,fr,Argile douce,draft,
kit-composition,polissoir__ingredient__kaolin__name,fr,Poudre de kaolin polissant,draft,
kit-composition,polissoir__ingredient__kaolin__origin,fr,"Carrière, Marrakech",draft,
kit-composition,polissoir__ingredient__mousse__name,fr,Mousse polyuréthane haute densité,draft,
kit-composition,polissoir__name,fr,Polissoir Step 4 — Polish & Shine,draft,
kit-composition,polissoir__narrative,fr,"Polissoir trois faces, du plus rugueux au plus doux. La dernière face révèle la brillance, sans solvant ni vernis. Se rince à l’eau tiède.",draft,
kit-composition,polissoir__sensation,fr,La lumière revient à la surface.,draft,
kit-composition,polissoir__short_description,fr,"Polissoir rectangulaire bleu ciel. Trois faces, trois grains. Révèle la brillance naturelle.",draft,
kit-composition,polissoir__usage_hint,fr,six mois de polissage doux,draft,
kit-composition,polissoir__volume,fr,90 mm,draft,
kit-composition,powder__ingredient__riz__function,fr,Absorbant doux,draft,
kit-composition,powder__ingredient__riz__inci_definition,fr,Amidon de riz finement broyé. Absorbe le surplus de paste sans dessécher.,draft,
kit-composition,powder__ingredient__riz__name,fr,Poudre de riz,draft,
kit-composition,powder__ingredient__riz__origin,fr,Asie biologique,draft,
kit-composition,powder__ingredient__silice__function,fr,Texture & glissant,draft,
kit-composition,powder__ingredient__silice__inci_definition,fr,Forme cosmétique du silicate. Donne la glisse et révèle la brillance au polissage.,draft,
kit-composition,powder__ingredient__silice__name,fr,Silice,draft,
kit-composition,powder__ingredient__silice__origin,fr,"Origine minérale, Europe",draft,
kit-composition,powder__ingredient__talc__function,fr,Matifiant minéral,draft,
kit-composition,powder__ingredient__talc__inci_definition,fr,"Silicate de magnésium pur, lavé et tamisé. Matifie sans gercer la plaque.",draft,
kit-composition,powder__ingredient__talc__name,fr,Talc cosmétique,draft,
kit-composition,powder__name,fr,2 Powder,draft,
kit-composition,powder__narrative,fr,"Poudre minérale fine, déposée juste après la paste. Le talc absorbe le surplus, la silice lustre la surface. Pas de blanc, pas de gris.",draft,
kit-composition,powder__sensation,fr,"Glisse, ne grise pas.",draft,
kit-composition,powder__short_description,fr,"Poudre fine blanche, déposée sur la paste. Absorbe l’excès, lustre la surface.",draft,
kit-composition,powder__usage_hint,fr,une pincée lustre toute la main,draft,
kit-composition,powder__volume,fr,8 g,draft,drift: volume 8g vs 30g — voir review-notes 1.5
kit-composition,section__description,fr,"Le kit tient dans une main. Chaque pièce a sa place dans le geste, sa place sur la table de chevet, sa place dans la saison.",draft,
kit-composition,section__kicker,fr,La composition,draft,
kit-composition,section__title,fr,"Trois objets, trois gestes.",draft,
kit-faq,adolescentes__answer,fr,"Oui, à partir de quatorze ans. Les formules sont douces, les gestes simples. C’est souvent un premier rendez-vous avec le soin lent.",draft,
kit-faq,adolescentes__question,fr,Le rituel est-il adapté aux adolescentes ?,draft,
kit-faq,allergies__answer,fr,"Chaque formule liste son INCI complet sur cette page et sur l’étiquette du pot. En cas de doute, nous vous adressons un échantillon avant l’envoi du pack complet.",draft,
kit-faq,allergies__question,fr,Et si je suis allergique à un ingrédient ?,draft,
kit-faq,compatibilite_vernis__answer,fr,"Le rituel s’accommode du vernis même s’il est pensé pour s’en passer. Appliquez la paste et la powder les soirs sans vernis. La plaque respire, le rituel installe sa lenteur.",draft,
kit-faq,compatibilite_vernis__question,fr,Puis-je continuer à porter du vernis ?,draft,
kit-faq,duree_pack__answer,fr,"En usage quotidien, le pack tient quatre à cinq mois. La paste se vide en premier, la powder suit. Le polissoir dure environ un an. Nous proposons des recharges à partir de l’automne 2026.",draft,
kit-faq,duree_pack__question,fr,Combien de temps dure un pack ?,draft,
kit-faq,expedition__answer,fr,"Rabat : 24 h. Reste du Maroc : 48 à 72 h. Livraison offerte. International : nous étudions chaque destination, l’envoi se fait par DHL avec suivi.",draft,
kit-faq,expedition__question,fr,Quels sont les délais de livraison ?,draft,
kit-faq,frequence__answer,fr,"Tous les soirs si vous le pouvez, en cinq minutes. Si vous sautez un jour, ce n’est pas grave : la maison accueille la pause comme elle accueille le retour.",draft,
kit-faq,frequence__question,fr,À quelle fréquence appliquer ?,draft,
kit-faq,grossesse__answer,fr,"Toutes les formules sont sans solvants volatils, sans phtalates, sans toluene. Nous recommandons d’échanger avec votre médecin : le soin se construit en confiance.",draft,
kit-faq,grossesse__question,fr,Le rituel convient-il pendant la grossesse ?,draft,
kit-faq,retours__answer,fr,"Oui, sous trente jours, même entamé. Vous nous écrivez deux lignes à info@femiglow-maroc.com, nous reprenons le pack. Remboursement sous cinq jours ouvrés.",draft,
kit-faq,retours__question,fr,Puis-je retourner le pack ?,draft,
kit-faq,section__description,fr,"Les réponses sont courtes, précises, vérifiables. Si une question manque, écrivez-nous : nous l’ajouterons.",draft,
kit-faq,section__kicker,fr,Questions,draft,
kit-faq,section__title,fr,Les questions qu’on nous pose.,draft,
kit-hands,description,fr,"Photos non retouchées, prises chez nos initiées au bout de plusieurs mois de rituel. La plaque retrouve sa nervure, sans recette miracle.",draft,
kit-hands,kicker,fr,Trois mains,draft,
kit-hands,title,fr,"Trois mains, trois saisons.",draft,
kit-hands-testimonials,amal__city,fr,Rabat,draft,
kit-hands-testimonials,amal__first_name,fr,Amal,draft,
kit-hands-testimonials,amal__initiee_depuis,fr,Février 2026,draft,
kit-hands-testimonials,amal__quote,fr,"Trois mois, et l’ongle a retrouvé sa nervure. J’ai cessé de le forcer.",draft,
kit-hands-testimonials,lina__city,fr,Casablanca,draft,
kit-hands-testimonials,lina__first_name,fr,Lina,draft,
kit-hands-testimonials,lina__quote,fr,"Cinq minutes le soir, c’est devenu un signal de fin de journée.",draft,
kit-hands-testimonials,sara__city,fr,Marrakech,draft,
kit-hands-testimonials,sara__first_name,fr,Sara,draft,
kit-hands-testimonials,sara__quote,fr,Je ne reviendrai pas au vernis. La main suffit à elle-même.,draft,
kit-hero,cta_commander,fr,Commander le rituel,draft,
kit-hero,kicker,fr,Le rituel,draft,
