id_action,critere_verifiable,methode_verif,statut_mock,statut_live,scenario_parite_lie
ACT-ARC-011,"Taxonomies objective/pillar/tone unifiees UI/route/parse-brief; taxonomie erreurs unique","grep enums partages; test parse-brief tone",a_faire,a_faire,"Choisir le ton Empowering pour un reel"
ACT-BE-001,"Aucune fuite fake-timer: drain global timers; process exit 0 si 0 failed","cmd: pnpm vitest run video-generation.test.ts; echo $?",a_faire,a_faire,"Polling Higgsfield status=failed (exit 1)"
ACT-BE-002,"MEDIA_DIR absolu; tests isoles en tmpdir; stubs purges","grep MEDIA_DIR; assert tmpdir en setup",a_faire,a_faire,
ACT-BE-003,"Config moteur et caches de cles invalidables (pas de live fantome via cache TTL)","test: changer cle -> discovery reflete sans attendre TTL",a_faire,a_faire,"Decouverte de modeles quand aucune cle (cache)"
ACT-BE-004,"Pipeline voix-off/musique/video mock re-verifie sous runtime PM2 (pas seulement vitest)","probe staging: generer reel -> fichiers audio/mp4 reels sur disque",a_faire,a_faire,"Generer un reel avec un ton valide (voix-off)"
ACT-BE-010,"En mock: /create Generer un visuel IA -> asset deterministe. En live: gpt-image-1-mini -> asset reel 200 + generation_run provider=openai succeeded cost>0","probe operateur authentifiee /admin/content-studio-v2/create; test resolution cle",a_faire,a_faire,"Operateur clique Generer un visuel IA;Generer un visuel image (gpt-image-1-mini)"
ACT-BE-011,"Generation image Higgsfield async submit+poll conforme; asset 200 a fourniture credential complet","contract-test mock fidele; verif live si KEY_SECRET present",a_faire,bloque_credential,"Operateur selectionne un modele Higgsfield hf-flux-pro"
ACT-BE-012,"Generation video Higgsfield async submit+poll; routage hf-* mappe sur IDs natifs; aucun endpoint synchrone invente","contract-test handler async; probe /create video live",a_faire,bloque_credential,"Generation video Higgsfield (hf-video-*) en mode live;Generer une video avec un modele Higgsfield"
ACT-BE-013,"Texte operateur reellement LLM si cle valide; role inference; mode mock=template, live=LLM (different)","probe: comparer texte mock vs live; assert provider=openai en live",a_faire,a_faire,"Generation de texte d'idee;Generer les variantes de texte apres creation d'idee"
ACT-BE-014,"Variation de draft regenere reellement le texte (pas clone) + re-sync media","probe: 2 variantes -> caption differente; row variation",a_faire,a_faire,"Variation de draft (mock vs live)"
ACT-BE-015,"Fallbacks audibles: pousses dans state.errors + flag degraded; pas de completed silencieux","test: forcer fallback -> state.errors non vide, degraded=true",a_faire,a_faire,"Generer un reel avec un ton valide (voix-off)"
ACT-BE-016,"Re-generation d'une idee deja generated -> HTTP 409 metier propre","probe: POST generate sur idee generated -> 409",a_faire,a_faire,
ACT-BE-017,"Enum tone aligne UI AI-Engine <-> DTO route <-> parse-brief (Empowering accepte)","probe: ton Empowering -> pas de ZodError; node s'execute",a_faire,a_faire,"Choisir le ton Empowering pour un reel"
ACT-BE-020,"POST /postiz-draft ne cree AUCUN draft Postiz reel (410 ou dry_run honore) en mock et live","probe avant/apres: GET integrations comptage drafts inchange",a_faire,a_faire,"Envoyer un brouillon au provider (draft-on-provider)"
ACT-BE-021,"Post programme T+2min: queued->publishing->published (dry_run); social_publish_job date; heartbeat social_publish_event par tick","probe staging; GET /publish-jobs?publishMode=schedule >=1 execute",a_faire,bloque_gate,"Programmer un post pour T+1h"
ACT-BE-022,"Idempotence independante de scheduledAt: dedup + anti-double-publication sur ticks chevauchants","test: 2 ticks concurrents -> 1 seule publication",a_faire,a_faire,"Programmer un post pour T+1h"
ACT-BE-023,"dry_run honnete (metadata.dryRun derive du mode); capabilities recalculees a la volee (pas stale)","probe: account.capabilities = recalcul serveur; jamais published+permalien factice",a_faire,a_faire,"Capabilities d'un compte (supportsDraft, formats)"
ACT-BE-024,"Controle d'acces sur /_media generes (pas de fuite anonyme)","cmd: curl /_media sans auth -> 401/403",a_faire,a_faire,
ACT-BE-030,"Providers voix-off/musique reels gates explicitement (ElevenLabs); pas de completed sans audio","test: provider non configure -> degraded; configure -> audio reel",a_faire,bloque_credential,"Generer un reel avec un ton valide (voix-off)"
ACT-BE-031,"Compose reel: mux amix voix-off+musique + incrustation sous-titres + normalisation contre vrai ffmpeg","probe: mp4 compose avec piste audio+SRT incruste; ffprobe",a_faire,a_faire,"Composition video AI-Engine (compose mux);Pipeline de composition video complet"
ACT-BE-032,"transcode-export respecte codec/maxFileSizeMb; echec non masque","test: export > maxFileSizeMb -> erreur typee remontee",a_faire,a_faire,
ACT-BE-033,"Garde MOCK_ASSETS/kind=video sur formats non-video; doc mock video","test: format post + kind=video -> garde declenchee",a_faire,a_faire,"Operateur genere une video reel depuis /create"
ACT-BE-034,"Uploads media: erreurs propres + limite de pixels","probe: upload geant -> erreur typee, pas de crash",a_faire,a_faire,"Recadrage image operateur (upload-and-crop)"
ACT-BE-035,"Pricing image centralise dans le registry (pas de cout code en dur)","grep cout image; assert lecture registry",a_faire,a_faire,"Tracabilite du modele choisi dans generation_run"
ACT-DA-001,"Schema test cible la table reelle audit_events (pluriel); to_regclass('audit_events')=t","cmd: psql -c \"select to_regclass('audit_events')\"",a_faire,a_faire,"Publier en brouillon Postiz (parcours operateur);Publication brouillon Postiz (E2E DB)"
ACT-DA-002,"E2E DB branche sur base de test au schema Drizzle reel; spec Postiz draft passe","cmd: pnpm e2e content-studio-v2/create-golden-path",a_faire,a_faire,"Publication brouillon Postiz (E2E DB)"
ACT-DA-003,"Cle idempotence publication independante de scheduledAt + index unique","inspect schema; test insert duplicate -> rejet",a_faire,a_faire,"Programmer un post pour T+1h"
ACT-DA-004,"Coherence content_post <-> social_publish_job (anti-orphelin) sur tous etats","test transition: pas d'orphelin apres cancel/publish",a_faire,a_faire,"Publier maintenant un post approuve Instagram"
ACT-DA-005,"generation_run persiste le modele intentionnel (pas mock-low-cost-image fantome)","probe: choisir gpt-image-1-mini -> run.model=gpt-image-1-mini",a_faire,a_faire,"Tracabilite du modele choisi dans generation_run"
ACT-DA-006,"Registre de modeles routables + contrat resolution credentials unique","grep registre; test routage id->provider",a_faire,a_faire,"Choix d'un modele video dans le ModelPicker"
ACT-DA-008,"Invariant instrument: run vert PROUVE exit 0 (test garde-fou)","cmd: pnpm vitest run; assert exit==0 ssi 0 failed",a_faire,a_faire,"Statut de la suite de tests video"
ACT-DS-001,"Contrat distinction image/video correct; 2 E2E libelle/icone corriges","cmd: pnpm e2e; assert libelle video != image",a_faire,a_faire,
ACT-DS-002,"Garde anti-regression contrat image/video (verrou libelle/icone)","test snapshot/contrat image vs video",a_faire,a_faire,
ACT-DS-003,"Contraste WCAG AA tokens --cs-*; lint a11y contraste bloquant","cmd: pnpm lint:a11y -> 0 violation contraste",a_faire,a_faire,
ACT-DS-004,"Apercu fidele au rendu reseau + etat d'erreur visuel dedie (fin faux apercu)","probe: erreur generation -> etat erreur visible, pas apercu fantome",a_faire,a_faire,"Indicateur de mode au chargement de /create"
ACT-DS-005,"Slots UI livrables avances A: video composee/voix-off/musique/sous-titres visibles","probe /create: apres compose, voix-off+SRT exposes UI",a_faire,a_faire,"Recuperer le fichier de sous-titres genere (.srt)"
ACT-DS-006,"Primitives atomiques tokens (Badge/Pill/Surface/Button) + tokens branches","grep primitives; revue tokens",a_faire,a_faire,
ACT-FE-001,"cs_generation_mode propage a generation texte/variantes; fin du toggle ignore","probe: toggle live -> texte LLM; toggle mock -> template",a_faire,a_faire,"Generer les variantes de texte apres creation d'idee"
ACT-FE-002,"Helper unique lecture/ecriture mode generation cote client (cookie coherent)","grep helper cs_generation_mode; 1 source",a_faire,a_faire,"Indicateur de mode au chargement de /create"
ACT-FE-003,"Metadonnees media (duree/dimensions) remontees du moteur a l'UI","probe: video -> durationMs/dimensions affiches",a_faire,a_faire,
ACT-FE-004,"create-flow (MediaStudio) branche sur moteur A via facade invokeEngine","grep MediaStudio invokeEngine; probe generation via A",a_faire,a_faire,"Generer un visuel image avec le modele auto-suggere"
ACT-FE-005,"voix-off/musique/sous-titres/montage exposes a l'operateur create-flow","probe /create: livrables avances accessibles",a_faire,a_faire,"Pipeline de composition video complet"
ACT-FE-006,"Selection explicite et obligatoire du compte Postiz dans l'UI (pas resolveDefaultAccount)","probe publish: sans compte selectionne -> bloque; pas de devinette",a_faire,a_faire,"Publier maintenant un post approuve Instagram"
ACT-FE-007,"Recadrage avec rotation correct: referentiel react-easy-crop aligne sur sharp","probe: crop+rotation -> sortie correcte (ffprobe/dims)",a_faire,a_faire,"Recadrage image operateur (upload-and-crop)"
ACT-FE-008,"Erreurs typees HttpError -> messages UI lisibles (codes mappes, pas message ecrase)","probe: erreur 409 -> message serveur utile preserve",a_faire,a_faire,"Generer un visuel image avec le modele auto-suggere"
ACT-FE-009,"Reconciliation etat optimiste StudioContext vs serveur apres generation","probe: generation -> etat client = etat serveur",a_faire,a_faire,
ACT-UX-001,"Picker honnete: badge Live <=> generabilite reelle (source propagee)","probe picker: badge Live ssi generable",a_faire,a_faire,"Picker affiche les modeles image disponibles;Generation d'image gpt-image-1 Live"
ACT-UX-002,"Catalogue video aligne sur execution (fin desync picker<->backend)","probe: modeles video picker == routables backend",a_faire,a_faire,"Choix d'un modele video dans le ModelPicker"
ACT-UX-003,"Pas de pre-selection d'un modele non-fonctionnel; allowCustom borne","probe: defaut selectionne = modele generable",a_faire,a_faire,"Operateur genere une video reel depuis /create"
ACT-UX-004,"Modele choisi persiste et honore (fin du model fantome)","probe: choix -> generation_run.model identique",a_faire,a_faire,"Tracabilite du modele choisi dans generation_run"
ACT-UX-005,"Source unique mock/live: toggle = badge = defaut de route","probe: toggle, badge global, defaut route coherents",a_faire,a_faire,"Indicateur de mode au chargement de /create"
ACT-UX-006,"Fin du toggle fantome texte + scope cookie coherent","probe: toggle texte a un effet OU est retire",a_faire,a_faire,"Generer les variantes de texte;Generation de texte d'idee"
ACT-UX-007,"Message d'echec actionnable: ne pas ecraser le message serveur utile","probe: echec -> message serveur affiche tel quel",a_faire,a_faire,"Generer un visuel image avec le modele auto-suggere"
ACT-UX-008,"Apercu fidele pleine/grande resolution sans rabattement silencieux","probe: apercu = resolution reelle servie",a_faire,a_faire,
ACT-DA-007,La suite de tests media n'ajoute aucune ligne a la DB de prod ni aucun fichier a la racine media de prod ; racine media derivee d'un chemin ABSOLU independant du cwd,"En mock ET live: avant/apres `pnpm vitest run` cible media, comparer count(media) DB de prod (delta=0) et `ls` racine media de prod (delta=0) ; verifier que MEDIA_LOCAL_DIR absolu est utilise (pas join(process.cwd()))",a_faire,a_faire,—
ACT-ARC-005,Parite Postiz GET integrations: la forme de reponse du handler MSW == reponse live (memes champs comptes/canaux); le detecteur de divergence echoue si ecart,"Contract-test dedie: snapshot de forme sur GET {POSTIZ}/api/public/v1/integrations en mock (MSW) ET live (compte de test), comparaison de schema zod partage",a_faire,bloque_credential,Postiz integrations read (parite)
ACT-BE-031,Parite upload-and-trim: le decoupage video produit en mock (ffmpeg-static) et en live donne les memes bornes/duree/mime; rendu jouable,"Test integration media en tmpdir isole: trim d'un asset de reference, assert duree/dimensions/mime identiques mock vs live; <video> jouable en E2E operateur",a_faire,a_faire,upload-and-trim (parite)
