id_action,titre,description,dependances,effort,priorite,dod_mesurable,audit_lie,t_ref,statut
ACT-BE-016,Re-génération d'une idée 'generated': erreur métier 409 propre,"assertTransition('generated','generated') (service.ts:153) lève une erreur générique non-HttpError dégradée en HTTP 500 internal_error opaque. Lever un HttpError('invalid_state','Idée déjà générée') mappé en 409 et vérifier le statut AVANT createBrief/createDrafts pour éviter des écritures partielles (idéalement en transaction).",,S,P3,En mock ET live: re-POST /ideas/<id>/generate sur une idée déjà 'generated' → HTTP 409 au message clair (pas 500 internal_error) — probe authentifiée dans les deux modes ; aucune écriture partielle (draft/brief) créée par la transition rejetée (vérification DB).,BUG-051,T-309,a_faire
ACT-BE-017,Aligner l'enum 'tone' UI AI-Engine ↔ DTO route ↔ parse-brief,"L'UI offre empowering/authentic/urgent mais parse-brief.ts:9 impose z.enum([professional,casual,playful,luxurious,educational,inspiring]) → ZodError → status:failed avant parseBrief. Aligner les trois sources: mapper les tons UI dans normalizeRequest (empowering→inspiring, authentic→casual, urgent→...) OU élargir l'enum, et valider le ton dès la route avec un message clair.",,S,P2,En mock ET live: POST /api/admin/ai-engine/generate avec CHAQUE ton proposé par l'UI → status != failed/invalid_enum_value (probe sur tous les tons de l'UI) ; un ton hors-liste est rejeté au DTO avec un message explicite (pas une 500). Vérifié dans les deux modes.,BUG-014,T-203,a_faire
ACT-BE-020,Neutraliser le contournement legacy /postiz-draft (garde-fou dry_run),"La route /api/admin/content-studio/posts/[id]/postiz-draft (createDraftInPostiz) appelle DIRECTEMENT l'API Postiz réelle en ignorant SOCIAL_PUBLISHING_MODE=dry_run — contournement du garde-fou de simulation. Renvoyer 410 Gone, OU router createDraftInPostiz via resolveDefaultAccount + respect strict de SOCIAL_PUBLISHING_MODE (dry_run → simuler).",,S,P0,"En mock/dry_run (staging): un POST sur /postiz-draft ne crée AUCUN draft sur l'instance Postiz réelle (vérifié read-only via GET integrations: aucun nouveau draft) — soit 410, soit dry_run honoré. En live (dry_run par défaut): identique, aucune fuite vers Postiz réel. Probe avant/après comptage des drafts Postiz.",BUG-040,T-020,a_faire
ACT-BE-021,Brancher le scheduler de publication programmée sur un déclencheur réel self-hosted,"runScheduledPublishJobs n'est appelé par aucun cron (absent de vercel.json, non relayé par /api/cron/tick, app en PM2 self-hosted). Appeler runScheduledPublishJobs({limit borné}) depuis /api/cron/tick (déjà déclenché chaque minute par femiglow-staging-cron-tick.service), borné en temps. Émettre un social_publish_event heartbeat. Ajouter un contrôle CI 'toute route /api/cron/* a un déclencheur sur la cible de déploiement effective'. ACTIVATION LIVE GARDÉE par ACT-BE-022 + sync d'état (BUG-038).",ACT-BE-022;ACT-DA-004;ACT-DA-003;ACT-FE-006,M,P1,"En mock/staging: programmer un post à T+2min → à échéance il transite queued→publishing→published (dry_run), un social_publish_job daté apparaît, et GET /publish-jobs?publishMode=schedule montre >=1 job exécuté (aujourd'hui: 0) — probe. En live: activation UNIQUEMENT après preuve d'idempotence (ACT-BE-022) et de sync d'état (BUG-038) ; un heartbeat social_publish_event est émis à chaque tick (vérifié en base).",BUG-003,T-103b,a_faire
ACT-BE-022,Idempotence de publication indépendante de scheduledAt (dédup + anti-double-post),"La clé d'idempotence intègre scheduledAt.toISOString() (admin-service.ts:328) → reprogrammer crée un SECOND job queued ; publish-now n'invalide pas le job programmé existant. Clé d'idempotence par post+compte+intent (indépendante de scheduledAt) ; reschedule MUTE le job existant ; avant tout publish-now/schedule, invalider/réutiliser le job queued existant du même post. GARDE-FOU DUR avant activation live de ACT-BE-021.",ACT-DA-003,M,P1,En mock avec scheduler actif: publish-now sur un post ayant déjà un job programmé → UN SEUL envoi (le job programmé est annulé/réutilisé) ; reschedule deux fois à des horaires différents → UN SEUL social_publish_job queued (aujourd'hui: deux) — test explicite. En live: non activé tant que cette preuve n'est pas obtenue (garde-fou anti-incident sur comptes IG clients).,MISS-028,T-204,a_faire
ACT-BE-023,dry_run honnête + capabilities recalculées à la volée,"buildSocialContent (admin-service.ts:614-639) force metadata.dryRun=true même en mode live. Dériver metadata.dryRun du mode réellement résolu (account.provider==='dry_run' ou SOCIAL_PUBLISHING_MODE) au moment du build. Recalculer les capabilities à la volée dans listAdminSocialAccounts/getPostPublishability via adapterFor(provider).listCapabilities(account) au lieu de servir les capabilities persistées stale (supportsDraft absent, reel/story manquants). Source unique = code adapter.",ACT-ARC-004,M,P3,"En mock ET live: un post dry_run porte metadata.dryRun=true, un post live porterait false (vérifié sur le code + test de parité dry_run↔Postiz sur le même contrat de permalien/statut). /publishability ne renvoie plus de capabilities stale incohérentes (un account ne dit plus 'ne supporte pas reel' tout en étant publishable:true) — probe + contract-test.",BUG-063;BUG-065;MISS-029,T-308,a_faire
ACT-BE-024,Contrôle d'accès sur les médias générés /_media,"Tous les assets .media-storage/ai-engine (sous-titres SRT, composés, exports) sont servis publiquement via /_media SANS authentification (curl sans cookie → 200). Exiger une session/jeton admin pour servir ces fichiers qui peuvent contenir du contenu client non publié. Coordination infra (LiteSpeed/route Next).",ACT-ARC-013,M,P5,En mock ET live: curl SANS cookie sur un /_media/ai-engine/subtitles-*.srt renvoie 401/403 (aujourd'hui 200) ; avec cookie admin → 200 — probe dans les deux modes.,MISS-010,T-021,a_faire
ACT-BE-030,Providers voix-off/musique réels gatés explicitement,"AI_ENGINE_DEFAULT_TTS_PROVIDER=mock ; ElevenLabs non configuré ; OpenAI TTS configurable (clé présente) mais jamais sélectionné ; musique = stub silencieux sans aucun provider. Câbler le gating: activer OpenAI TTS (provider=openai, clé déjà là) ou ElevenLabs si clé ; ajouter providers.music à EngineConfig si la musique est un objectif produit, sinon documenter explicitement 'silence optionnel fiable'. NE PAS marquer voix-off 'works' tant que non testée live ; pousser l'échec dans state.errors (rejoint ACT-BE-015).",ACT-ARC-013;ACT-BE-015,M,P4,"En live: avec AI_ENGINE_DEFAULT_TTS_PROVIDER=openai, une génération voix-off retourne un mp3 réel (file confirme audio, durée estimée >0) servi 200 ; GET /api/admin/ai-engine/config/providers reflète le provider TTS résolu. En mock: le node produit un asset audio déterministe valide OU dégrade explicitement (state.errors) si le provider échoue — jamais un completed silencieux trompeur. Musique: soit un asset réel, soit un silence fiable documenté + degraded si échec.",BUG-049;BUG-050;MISS-011;BUG-004,T-304,a_faire
ACT-BE-031,Compose réel: mux/incrustation des sous-titres + normalisation + sous-titres exposés,"compose lit state.subtitles mais ne l'utilise que comme booléen hasSubtitles (aucune commande ffmpeg subtitles=/-c:s). Le chemin sans audio est une simple copie binaire (readFile/writeFile, no-op). compose émet -c:v copy en muxant l'audio (risque container/codec incompatible). Le SRT est tronqué à 117 chars et jamais exposé. Écrire le SRT temporaire + -vf subtitles= (burn-in) ou -c:s mov_text ; utiliser -c:v libx264 quand on remux de l'audio ; découpage multi-cue (~42 chars/ligne) ; exposer subtitles dans le DTO (remontée pilotée par ACT-ARC T-104).",ACT-BE-002;ACT-ARC-002,L,P4,En mock: un test compose dans tmpdir produit un MP4 dont ffprobe confirme durée/codec ET une piste/incrustation sous-titre quand un SRT est fourni ; le chemin sans audio n'est plus un no-op de copie binaire (re-encodage/normalisation vérifié) ; aucun artefact 10-14o. En live: un job format reel atteignable par l'opérateur produit une composition avec sous-titres muxés (ffprobe -show_streams liste la piste s ou l'incrustation visible) — preuve via le pont A→B.,BUG-036;BUG-059;BUG-066;MISS-025;MISS-026;BUG-004,T-307,a_faire
ACT-BE-032,transcode-export: respecter codec/maxFileSizeMb + ne pas masquer l'échec en passthrough,"transcode-export ignore spec.codec (libx264 codé en dur) et ne compare jamais maxFileSizeMb à la taille de sortie ; le fallback 'passthrough' copie la composition non transcodée quand ffmpeg échoue (catch silencieux), masquant l'échec et servant un asset non conforme. Utiliser spec.codec si défini ; après transcode, stat la taille et re-encoder (CRF/bitrate) si > maxFileSizeMb ; rethrow/dégrader au lieu d'un passthrough silencieux.",ACT-BE-031;ACT-BE-015,M,P5,En mock: un test transcode produit un MP4 respectant spec.codec et maxFileSizeMb (ffprobe + stat de taille <= limite) ; un échec ffmpeg simulé NE produit PAS un passthrough silencieux mais un statut degraded + state.errors (probe). En live: un export réel respecte le codec/limite de la plateforme cible (ffprobe sur l'asset servi).,BUG-058;BUG-059;MISS-026,T-902,a_faire
ACT-BE-033,Garde MOCK_ASSETS / kind=video sur formats non-vidéo + doc mock vidéo,"generateMockStudioVideo throw 'Aucun mock video disponible' pour format=post/carousel (MOCK_ASSETS ne couvre que reel/story). isFormatVideoCapable existe mais rien ne garantit que le backend refuse proprement kind=video sur un format non-vidéo. Renvoyer une erreur métier claire (pas une 500) côté backend si kind=video est forcé sur post/carousel ; documenter que le chemin mock vidéo (reel/story, MP4 jouable vérifié) est statique/déterministe.",,S,P5,"En mock ET live: un POST generate-visual forcé avec kind=video sur format=post/carousel renvoie un message métier clair (400/409), pas une 500 'Aucun mock video disponible' — probe. Le chemin mock reel/story (kind=video, mock-video-1.0) continue de renvoyer HTTP 200 + MP4 jouable (1080x1920, 5000ms) — non-régression vérifiée.",BUG-067;MISS-023,T-415,a_faire
ACT-BE-034,Robustesse des uploads média: erreurs propres + limite de pixels,"upload-and-crop/trim: un corps non-multipart fait throw request.formData() (TypeError → 500 internal_error) ; entourer d'un try/catch qui throw HttpError('invalid_input','Corps multipart attendu') (→ 400). Borner les pixels/résolution en entrée (sharp sans limitInputPixels + crop non borné → risque de décompression bomb saturant le process PM2 mono-process). Aligner FFMPEG_BIN d'upload-video.ts sur ffmpeg-static (require) comme les nodes A, ou définir FFMPEG_PATH en .env.",ACT-BE-002,M,P4,"En mock ET live: POST upload-and-crop/trim avec un corps non-multipart renvoie 400 invalid_input (aujourd'hui 500) — probe ; une image dépassant la limite de pixels est rejetée proprement (pas d'OOM/saturation, vérifié par test avec une image à forte décompression). upload-video utilise le même binaire ffmpeg-static que compose/transcode (vérifié par config) — pas de divergence PATH système.",BUG-060;BUG-068;MISS-027,T-902,a_faire
ACT-BE-035,Centraliser le pricing image dans le registry,"Trois barèmes de pricing image divergents: registry pricing.perCall, service.visualCostEstimate (par quality, ignore le modèle), image-generation.estimateOpenAiImageCostCents (autres valeurs) — unités incohérentes (cents vs cents/appel). Centraliser le pricing dans le registry, l'utiliser pour le pré-check budget (service.checkDailyBudget) ET le coût enregistré (image-generation). Clarifier l'unité (cents).",ACT-BE-010,S,P5,"En mock ET live: pour un même modèle+quality, le coût pré-check budget (service) et le coût enregistré (generation_run.cost) sont IDENTIQUES et proviennent du registry (probe comparant les deux valeurs) ; aucune divergence d'unité (cents). Vérifié sur >=2 modèles (gpt-image-1-mini, gpt-image-1).",BUG-057,T-902,a_faire
