id,severity,system,title,evidence,consequence,fix_type,regression_test,status
F-INS-04,P2,Insights,"Unité revenu funnel (cents vs MAD) a vérifier","contracts.ts:215","Même risque que AF-02","Aligner sur la décision AF-02","Vitest: totalRevenueCents cohérent avec MAD",open
F-INS-05,P2,Insights,"Export PNG fragile (polices/RTL/taille)","ExportPngButton.tsx","PNG illisible/vide selon contexte","Stabiliser la capture; tester 3 locales","Playwright: PNG non vide sur fr/ar/en",open
F-INS-06,P2,Insights,"Refresh manuel concurrent (lock a tester)","refresh.ts","Double run ou 500 si 2 admins cliquent","Lock -> skip propre du second","Vitest/integration: 2 refresh concurrents -> 1 success 1 skipped",open
F-FLT-01,P2,Transverse,"Fallback silencieux sur filtres invalides","filters.ts:112","?period=foo affiche today/mobile sans signal","Ignorer la clé invalide en gardant les autres + avertir","Vitest: parse(?period=foo&device=desktop) garde device=desktop",open
F-PERF-01,P2,Transverse,"Agrégation in-memory de toute la période","funnel.ts:399; cta.ts:391; checkout.ts:416","Latence/mémoire sur 30d/90d/all a volume","Agréger en SQL ou via matviews pour fenêtres longues","Bench/integration: 100k events 30d sous seuil de latence",open
F-PERF-02,P2,Transverse,"Matviews existantes inutilisées (Funnel/CTA/Checkout)","matviews.ts; cta.ts:18","Perf sous-optimale alors que la solution existe","Router fenêtres longues vers mv_*","Integration: fenêtre 90d utilise la matview",open
F-PERF-03,P2,Transverse,"Double fetch au mount (RSC + client)","FunnelDashboard.tsx:58","Calcul serveur x2 a chaque ouverture","Hydrater depuis initialData; ne fetch que sur changement","Playwright: 1 seul appel API au mount (intercept)",open
F-PERF-04,P2,Transverse,"Pas de cache (revalidate=0, no-store)","funnel/route.ts; cta/route.ts","Recalcul a chaque navigation","Cache court 30-60s côté API","Integration: 2e appel identique servi du cache",open
F-SEC-01,P2,Transverse,"sql.raw + escape maison au lieu de requêtes paramétrées","funnel.ts:399; cta.ts:391; checkout.ts:416","Fragile a toute évolution de filtre (mitigé par enum Zod)","Migrer vers requêtes paramétrées Drizzle","Vitest: valeur device exotique rejetée; pas d'interpolation brute",open
F-FMT-01,P2,Transverse,"Axe X heure en fuseau navigateur != serveur","format.ts:92","Axe X décalé vs données","Aligner le fuseau d'affichage sur celui des buckets","Vitest: formatBucket hour cohérent avec la timezone choisie",open
F-FMT-02,P2,Transverse,"Semaine ISO aux bords d'année a tester","format.ts:98","S52/S53/1er janvier potentiellement faux","Couvrir par tests; sinon lib date","Vitest: 2025-12-29 -> S1 2026; 2026-01-01 -> bonne semaine",open
